priority,coin_denomination,coin_year,match_quality,appears_in_sets,example_set_theme,search_hint,target_gcs_folder,naming_convention
HIGH,1c,1943,not_found,1,Shipment # 6,PCGS CoinFacts or NGC Coin Explorer,reference_library/wikimedia_uscoin/,1943_1c_obverse.jpg
HIGH,2c,1940,not_found,1,Shipment # 3,PCGS CoinFacts or NGC Coin Explorer,reference_library/wikimedia_uscoin/,1940_2c_obverse.jpg
HIGH,3c,1940,not_found,1,Shipment #2,PCGS CoinFacts or NGC Coin Explorer,reference_library/wikimedia_uscoin/,1940_3c_obverse.jpg
HIGH,Eisenhower Centennial Silver Dollar,1990,not_found,1,Eisenhower Centennial,Wikimedia Commons: Eisenhower_dollar category,reference_library/wikimedia_uscoin/,1990_eisenhower_centennial_silver_dollar_obverse.jpg
HIGH,Eisenhower Silver Dollar,1990,not_found,1,Eisenhower Centennial,Wikimedia Commons: Eisenhower_dollar category,reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Eisenhower_dollars/,1990_eisenhower_silver_dollar_obverse.jpg
MEDIUM,Kennedy Half Dollar,2024,type_generic,5,Clad Proof Set,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,2024_kennedy_half_dollar_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1942,type_generic,4,1942 Year Set,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1942_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Washington Quarter,1942,type_generic,4,1942 Year Set,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1942_washington_quarter_obverse.jpg
MEDIUM,Jefferson Nickel,2024,type_generic,3,Clad Proof Set,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,2024_jefferson_nickel_obverse.jpg
MEDIUM,Lincoln Cent,2024,type_generic,3,Clad Proof Set,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,2024_lincoln_cent_obverse.jpg
MEDIUM,Roosevelt Dime,2024,type_generic,3,Clad Proof Set,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,2024_roosevelt_dime_obverse.jpg
MEDIUM,Jefferson Nickel,1990,type_generic,2,Eisenhower Centennial,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1990_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1964,type_generic,2,Time Capsule Year Set,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1964_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1941,type_generic,2,Shipment #2,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1941_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,2022,type_generic,2,Denver Mint Panel,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,2022_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,2023,type_generic,2,Denver Mint Panel,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,2023_jefferson_nickel_obverse.jpg
MEDIUM,Kennedy Half Dollar,1990,type_generic,2,Eisenhower Centennial,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,1990_kennedy_half_dollar_obverse.jpg
MEDIUM,Kennedy Half Dollar,1964,type_generic,2,Time Capsule Year Set,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,1964_kennedy_half_dollar_obverse.jpg
MEDIUM,Kennedy Half Dollar,2022,type_generic,2,Denver Mint Panel,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,2022_kennedy_half_dollar_obverse.jpg
MEDIUM,Kennedy Half Dollar,2023,type_generic,2,Denver Mint Panel,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,2023_kennedy_half_dollar_obverse.jpg
MEDIUM,Lincoln Cent,1990,type_generic,2,Eisenhower Centennial,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1990_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1964,type_generic,2,Time Capsule Year Set,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1964_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1941,type_generic,2,Shipment #2,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1941_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,2022,type_generic,2,Denver Mint Panel,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,2022_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,2023,type_generic,2,Denver Mint Panel,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,2023_lincoln_cent_obverse.jpg
MEDIUM,Mercury Dime,1941,type_generic,2,Shipment #2,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1941_mercury_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1990,type_generic,2,Eisenhower Centennial,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1990_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1964,type_generic,2,Time Capsule Year Set,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1964_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,2022,type_generic,2,Denver Mint Panel,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,2022_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,2023,type_generic,2,Denver Mint Panel,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,2023_roosevelt_dime_obverse.jpg
MEDIUM,Washington Quarter,1990,type_generic,2,Eisenhower Centennial,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1990_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1964,type_generic,2,Time Capsule Year Set,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1964_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1941,type_generic,2,Shipment #2,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1941_washington_quarter_obverse.jpg
MEDIUM,Buffalo Nickel,1937,type_generic,1,,Wikimedia Commons: Buffalo_nickel — filter by year,reference_library/wikimedia_uscoin/United_States_nickels/Buffalo_nickels/,1937_buffalo_nickel_obverse.jpg
MEDIUM,Buffalo Nickel,1934,type_generic,1,AMERICA REVISITED SELECTION,Wikimedia Commons: Buffalo_nickel — filter by year,reference_library/wikimedia_uscoin/United_States_nickels/Buffalo_nickels/,1934_buffalo_nickel_obverse.jpg
MEDIUM,Buffalo Nickel,1936,type_generic,1,America Revisited Selection,Wikimedia Commons: Buffalo_nickel — filter by year,reference_library/wikimedia_uscoin/United_States_nickels/Buffalo_nickels/,1936_buffalo_nickel_obverse.jpg
MEDIUM,Franklin Half Dollar,1954,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Franklin_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Franklin_half_dollar/,1954_franklin_half_dollar_obverse.jpg
MEDIUM,Franklin Half Dollar,1961,type_generic,1,,Wikimedia Commons: Franklin_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Franklin_half_dollar/,1961_franklin_half_dollar_obverse.jpg
MEDIUM,Franklin Half Dollar,1956,type_generic,1,,Wikimedia Commons: Franklin_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Franklin_half_dollar/,1956_franklin_half_dollar_obverse.jpg
MEDIUM,Franklin Half Dollar,1951,type_generic,1,,Wikimedia Commons: Franklin_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Franklin_half_dollar/,1951_franklin_half_dollar_obverse.jpg
MEDIUM,Jefferson Nickel,1954,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1954_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1961,type_generic,1,,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1961_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1939,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1939_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1983,type_generic,1,Clad Proof Set 5 Coins,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1983_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1956,type_generic,1,,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1956_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,1951,type_generic,1,,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,1951_jefferson_nickel_obverse.jpg
MEDIUM,Jefferson Nickel,21st Century,type_generic,1,21st Century Penny and Nickel,Wikimedia Commons: Jefferson_nickel or Wartime_Jefferson_nickel (1942-1945),reference_library/wikimedia_uscoin/United_States_nickels/Jefferson_nickel/,21st Century_jefferson_nickel_obverse.jpg
MEDIUM,Kennedy Half Dollar,1983,type_generic,1,Clad Proof Set 5 Coins,Wikimedia Commons: Kennedy_half_dollar — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Kennedy_half_dollar/,1983_kennedy_half_dollar_obverse.jpg
MEDIUM,Lincoln Cent,1954,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1954_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1961,type_generic,1,,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1961_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1939,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1939_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1983,type_generic,1,Clad Proof Set 5 Coins,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1983_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1951,type_generic,1,,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1951_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1935,type_generic,1,America Revisited Selection,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1935_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1937,type_generic,1,,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1937_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1934,type_generic,1,AMERICA REVISITED SELECTION,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1934_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,21st Century,type_generic,1,21st Century Penny and Nickel,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,21st Century_lincoln_cent_obverse.jpg
MEDIUM,Lincoln Cent,1936,type_generic,1,America Revisited Selection,Wikimedia Commons: Lincoln_Wheat_cent — filter by year,reference_library/wikimedia_uscoin/United_States_cents/Lincoln_cents/Lincoln_Wheat_cent/,1936_lincoln_cent_obverse.jpg
MEDIUM,Mercury Dime,1939,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1939_mercury_dime_obverse.jpg
MEDIUM,Mercury Dime,1935,type_generic,1,America Revisited Selection,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1935_mercury_dime_obverse.jpg
MEDIUM,Mercury Dime,1937,type_generic,1,,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1937_mercury_dime_obverse.jpg
MEDIUM,Mercury Dime,1934,type_generic,1,AMERICA REVISITED SELECTION,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1934_mercury_dime_obverse.jpg
MEDIUM,Mercury Dime,1936,type_generic,1,America Revisited Selection,Wikimedia Commons: Mercury_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Mercury_dimes/,1936_mercury_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1954,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1954_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1961,type_generic,1,,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1961_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1983,type_generic,1,Clad Proof Set 5 Coins,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1983_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1956,type_generic,1,,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1956_roosevelt_dime_obverse.jpg
MEDIUM,Roosevelt Dime,1951,type_generic,1,,Wikimedia Commons: Roosevelt_dimes — filter by year,reference_library/wikimedia_uscoin/United_States_dimes/Roosevelt_dimes/,1951_roosevelt_dime_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1939,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1939_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1935,type_generic,1,America Revisited Selection,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1935_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1937,type_generic,1,,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1937_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1934,type_generic,1,AMERICA REVISITED SELECTION,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1934_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Walking Liberty Half Dollar,1936,type_generic,1,America Revisited Selection,Wikimedia Commons: Walking_Liberty_half_dollars — filter by year,reference_library/wikimedia_uscoin/Half_dollar__United_States_/Walking_Liberty_half_dollars/,1936_walking_liberty_half_dollar_obverse.jpg
MEDIUM,Washington Quarter,1954,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1954_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1961,type_generic,1,,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1961_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1939,type_generic,1,Time Capsule Year Set,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1939_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1983,type_generic,1,Clad Proof Set 5 Coins,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1983_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1956,type_generic,1,,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1956_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1951,type_generic,1,,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1951_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1935,type_generic,1,America Revisited Selection,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1935_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1937,type_generic,1,,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1937_washington_quarter_obverse.jpg
MEDIUM,Washington Quarter,1934,type_generic,1,AMERICA REVISITED SELECTION,Wikimedia Commons: Washington_quarter or PCGS CoinFacts,reference_library/wikimedia_uscoin/United_States_quarters/Washington_quarter/,1934_washington_quarter_obverse.jpg
