coin_id,year,program,denomination,mint_mark,country,condition,cost,personal_photos,reference_imgs,fully_missing,obverse_url,reverse_url
9ab78fe0-e4e3-41b0-ba3a-bba701a192a9,,,,,US,,,None,None,YES,,
0002c0f9-9ea5-42d7-8697-a31353ffcb6d,1954,Franklin Half Dollar,Half Dollar,S,US,Gem Uncirculated 65,$225.00,None,None,YES,gs://numista-uploads-studio-9101802118-8c9a8/ai_generated_coins/jseaman1204@gmai...,
001e17fe-b783-417a-9897-f1593dc32a35,2010,Lincoln Cent,Penny,D,US,Mint State,$0.25,None,None,YES,gs://numista-uploads-studio-9101802118-8c9a8/ai_generated_coins/jseaman1204@gmai...,
4d7dcedd-9637-44ff-b833-d42b40be151d,,,,,US,Ungraded,,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
925e6556-54c6-41fd-b303-d0aac5db7bb8,,,,,US,63,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
c5f7f111-2786-4ecd-9dd1-6afa958d7bbc,,,,,US,Ungraded,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
8cd0b542-8aca-40bb-be5e-aa630a10e042,,1971-1978 Ike Dollar Set,Dollar,,US,Uncirculated & Proof,$899.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
39b04e68-45a8-4b80-9c88-d0901d621e20,,Celebrating America Coin Collection,,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
5c8412e8-1bc6-48ab-8d58-73438a51be06,,Celebrating America Coin Collection,,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
81d0ccc0-0ebd-44e7-a644-7ff7ce9cc5f7,,Celebrating America Coin Collection,$1,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
5da6b179-1043-43c8-9efb-53e7e89da6c1,,Club Selection,Quarter,,US,Ungraded,$239.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
53e3ba95-7b25-47a7-bbf2-bb5bdf1c5e2a,,Historic U.S. Silver Coins,Barber Quarter,P,US,Ungraded,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c02e6065-8e88-46a7-b1f0-f79714c14ae5,,Historic U.S. Silver Coins,Dime,D,US,Uncirculated,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
10861b9b-ae1e-4200-86b0-876b2d1c37ef,,The Celebrating America Coin Collection,,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
a7f0264e-5327-4164-a1ad-1242ec1d129f,,The Celebrating America Coin Collection,,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
fd3c9cde-26d5-4256-99ce-a03b27f20329,,The Celebrating America Coin Collection Shipment 21,,,US,Ungraded,$17.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6a514596-26f4-4617-a86e-da378aba2995,1806,Barber Silver Quarters,25 Cents,,US,Very Good,$979.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
cba39df5-7e47-482c-be3e-6255d5f25265,1818,,Capped Bust Silver Quarter,,US,Very Good,$266.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6b956962-8329-4d4e-a668-e37853c85814,1819,,Capped Bust Silver Quarter,,US,Good,$210.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
7c2588e1-0c96-49fe-a41d-8a63ff2b7ea2,1819,,Capped Bust Silver Quarter,,US,Good,$210.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
692dbcfc-3c13-4c69-98e7-3c28954a9bbd,1821,,Capped Bust Silver Quarter,,US,Very Good,$335.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
2cbd679d-811e-401c-b8db-86a3425faa12,1825,,Capped Bust Silver Quarter,,US,Very Good,$325.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
a8acddb7-70de-4362-80b2-023d0373faac,1825,Classic Head,Half Cent,,US,Extremely Fine,$335.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
0a152dd6-7d3a-4cbc-ad65-03ab06836767,1828,Classic Head,Half Cent,,US,Extremely Fine,$240.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
