year,mint,series,name,denom,est_value,index_key,coin_id
1989,W,Gold American Eagle,50,50,"$6,000 - $7,500",,db37a3ab-2b83-4d0b-a082-9ed7115d8017
1926,,US Commemorative Gold Coinage,2.5,2.5,"$3,800 - $4,500",,b0db4df7-d921-4897-b304-29daff76b2d3
1883,CC,Morgan Dollar Series,1,1,"$3,200 - $4,500",,b8365391-cd76-42bd-92f7-6a5a08f11e88
1883,CC,Morgan Dollar Series,1,1,"$1,100 - $1,600",,7de16752-bf56-4a41-9aa9-dbe9cf1c349d
1879,,Schoolgirl Dollar,1,1,$65 - $120,,3cd50285-6219-4745-8550-8c71aea23682
1869,MOTTO,Half Dollar Clib,Liberty Seated Silver Half Dollar,Liberty Seated Silver Half Dollar,$60 - $90,,891e9e30-0597-4468-a018-dba04ff087a9
1970,S,Lincoln Cent,Penny,Penny,$8.00 - $18.00,,2a18bb20-beda-4a62-a9c2-99b98fdb25f9
1971,S,Lincoln Cent,Penny,Penny,$5.00 - $12.00,,79be2dfd-0413-4a29-873c-28724ef15000
1982,D,Lincoln Cent,Penny,Penny,$0.50 - $2.50,,4502f240-52bc-4580-b28b-ba9b4d7144d4
1982,P,Lincoln Cent,Penny,Penny,$0.50 - $2.50,,4be0c50e-4d54-40f2-904a-32e910816ffe
1982,P,Lincoln Cent,Penny,Penny,$0.50 - $3.00,,99409031-3242-441b-a344-165266b36c9c
1960,D,Lincoln Cent,Penny,Penny,$0.25 - $1.00,,4e1950c5-ed85-4dfd-b91f-b517deede74c
1949,D,Lincoln Cent,Penny,Penny,$0.15 - $0.50,,05102409-fc78-46bc-9c8f-425628916f9f
1941,,Lincoln Cent,Penny,Penny,$0.15 - $0.75,,4614f9ab-99cf-49ff-a007-71c1c88950bc
1955,,Lincoln Cent,Penny,Penny,$0.15 - $0.75,,4dcfbbc4-bd07-4458-ad8b-aad84f9d2fd3
1942,,Lincoln Cent,Penny,Penny,$0.15 - $0.75,,61e359ed-cfde-4f76-9b82-29711967e113
1940,,Lincoln Cent,Penny,Penny,$0.15 - $0.75,,76cdf8aa-fa53-49cd-b83e-e872c7ccc82c
1944,,Lincoln Cent,Penny,Penny,$0.15 - $0.75,,fa5bc995-60cb-4d68-8da5-0fa005ef4e06
2012,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,0175a08d-061a-425f-b64d-64203f2b7ba0
1953,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,03898fe3-f055-4401-abdd-7a7c3a938a67
1948,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,060aeea4-8938-45ca-aab8-1290ee0f0b2d
1949,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,0b51f8b0-b49a-4847-94d6-9c5d935aecab
1952,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,0d3f24a1-9d30-494b-ba7b-e726238827e7
2008,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,0dbf4648-15e1-4ec6-9053-fb3b810479bf
1947,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,0fcf8a50-513b-4f1b-871b-d392c14be51c
1956,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,1e14ddc2-1ca1-4bb4-954d-af1b71085e7b
1974,D,Lincoln Cent,Penny,Penny,$0.10 - $0.75,,2b2be5f9-1cd8-42e0-a5a3-71c0dc20ff1e
1954,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,2d441901-8616-4bcf-9da6-ebff5bdd930d
1946,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,319e621e-2c4b-4f0f-90d6-598b0d5fd305
1977,D,Lincoln Cent,Penny,Penny,$0.10 - $0.75,,3c69ca05-e9ab-4f0b-9982-f796c9d1f63e
1945,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,3ff76060-8ea7-48f7-8fb5-33d22c7fb14a
2013,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,632c0620-0819-4460-8a46-84ae97dc1023
1999,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,6f00e52a-e0fc-4bf2-9ff1-2a1ec2240a4f
1979,D,Lincoln Cent,Penny,Penny,$0.10 - $0.75,,841d653a-c4cd-4570-bb45-fa5cd17e1b2e
1998,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,86e86c62-9bee-4564-ae03-7f7ea67b23ba
2011,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,95e3b07f-261b-4b5b-b91b-1eadfb573679
2010,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,9b311a61-9eca-46f8-9326-ba654e8091c3
2014,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,a9c53f01-82b2-4611-a4a0-3cbb9dc5198c
1951,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,b75214a6-ebd3-471b-9900-c58489b521af
2004,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,c34be820-20ee-4c27-81e2-f0d087f1a1d4
2002,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,c460fbba-8886-49fd-abec-624fb6f47fb0
1975,D,Lincoln Cent,Penny,Penny,$0.10 - $0.75,,cba8afa2-542e-4a09-a441-70d6f504d053
2006,D,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,d20c986e-e6bd-4d07-9bad-c4fa6c0445e6
1950,,Lincoln Cent,Penny,Penny,$0.10 - $0.50,,db57aa1b-0155-4e1e-bbf0-a85558f71be6
1954,S,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,0002c0f9-9ea5-42d7-8697-a31353ffcb6d
2010,D,Lincoln Cent,Penny,Penny,Pending,,001e17fe-b783-417a-9897-f1593dc32a35
1903,,Barber,Half Dollar,Half Dollar,Pending,,003b311d-ec8b-45b2-bbb8-08815a6aea56
1873,,Trade Dollar,1 Dollar,1 Dollar,Pending,,00782b45-c57a-4a62-be7f-c3165034b325
2024,P,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,00834217-976a-435d-ab0f-5f72cd299cb1
1867,S,Liberty Seated,Half Dollar,Half Dollar,Pending,,008da8c2-349a-4327-a64d-60696e583824
2023,P,Native American Dollar Program,Native American Dollar,Native American Dollar,Pending,,00b0f765-479a-4c36-ae37-4a1cf94d15ae
1978D,,Roosevelt Dimes,Dime,Dime,Pending,,00b202e4-aad0-42d2-a571-6440a4fccc96
1925,,Lincoln Head Cent,Penny,Penny,Pending,,00bcdde6-9da3-4dd6-9be2-e5e76eb6d6d2
1939,,Lincoln Cent,Penny,Penny,Pending,,00c9997d-0fbd-4f67-a4a5-5cb6ad941be3
1958,,Washington Silver Quarter,Quarter,Quarter,Pending,,00f122aa-468d-4e58-8770-b566d27d33d5
1980,D,Lincoln Memorial Cent,Penny,Penny,Pending,,011f4f37-26ee-43bd-8419-008fbcbd623a
1981,S,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,0128d3d8-2ab7-4782-b480-553f7e99b9cb
1974,S,Lincoln Head Penny,Penny,Penny,Pending,,013c156f-cb19-4578-8a00-4ddd203ee360
2022,D,US Women's Quarters,Quarter,Quarter,Pending,,0142355d-fdd7-4c56-9c35-4b01adca5544
1915,S,Lincoln Head Cent,Penny,Penny,Pending,,0160bde5-a6cf-471f-acf4-db8ebefcfd2d
1954,S,Jefferson Nickel Series,Nickel,Nickel,Pending,,0168beb3-599a-4697-838e-806d2d622277
2009S,,Roosevelt Dimes,Dime,Dime,Pending,,018a4a5a-d907-46a3-841a-10756a5c48b7
1893,CC,Morgan Silver Dollar,Dollar,Dollar,Pending,,019ddf99-a6e4-4483-9769-aa8d1aa8357b
1980,S,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,01a22bda-0254-40d8-8c63-c9c9efb8df96
1959,,Lincoln Head Penny,Penny,Penny,Pending,,01a46b11-f133-4116-af69-bf553d5c6705
1971,,Eisenhower Dollar,Dollar,Dollar,Pending,,01b1a978-68f3-4aa8-980c-26c5b9f386b0
2006S,,State and Territory Quarters,Quarter,Quarter,Pending,,01b63ba4-ee81-4708-aa96-e9e39beb08a9
1959D,,Washington Silver Quarter,Quarter,Quarter,Pending,,01cbe0fe-d000-4f30-9acf-aa818b3512d8
