Year,Denomination,Mint Mark,Country,Quantity,Condition,Surface & Strike Quality,Grading Service,Grading Cert #,AI Estimated Value,Cost,Purchase Date,Retailer/Website,Retailer Invoice #,Retailer Item No.,Program/Series,Theme/Subject,Metal Content,Melt Value,Storage Location,Personal Notes,Personal Ref #,id
1979,1,P,USA,1,Circ,,,,$1.00 - $1.50,$0.00 ,2/21/2026,,,,Susan B. Anthony Dollar,Susan B. Anthony; Eagle Landing on the Moon (Apollo 11),"Clad (75% Copper, 25% Nickel outer layers; Pure Copper core)",N/A,B1/F/1/1,,,f973e21f-470a-4524-9d91-13b14d300ad9
2000,1,P,USA,1,Circ,,,,$1.00 - $1.25,$0.00 ,2/21/2026,,,,Sacagawea,"Sacagawea, Native American Heritage; Eagle in flight","Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/H/1/1,,,cf7896f9-30f5-435a-a57c-0fa77fe564fa
2001,1,P,USA,1,Circ,,,,$1.00 - $1.25,$0.00 ,2/21/2026,,,,Sacagawea,"Sacagawea, Native American Heritage; Eagle in flight","Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/H/1/4,,,c37ae90c-bfb9-416a-845e-c491bf88f1fb
2000,1,D,USA,1,Circ,,,,$1.00 - $1.25,$0.00 ,2/21/2026,,,,Sacagawea,"Sacagawea, Native American Heritage; Eagle in flight","Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/H/1/2,,,bec11537-dd13-4c79-85b3-7ffef88fa48d
,1,,USA,1,Circ,,,,$1.00 - $1.05,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Polk,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/G/1/1,bad condition,,ac895087-4317-408a-ac33-9252ab4fb1ac
1979,1,D,USA,1,Circ,,,,Pending,$0.00 ,2/21/2026,,,,Susan B. Anthony Dollar,,,,B1/F/1/2,,,ab66a620-6da6-4bfb-b8f5-48c445c39b0d
1936,Penny,,USA,1,Circ,,,,$0.25 - $1.00,$0.00 ,2/21/2026,,,,Lincoln Cent,Abraham Lincoln; Wheat Ears,"Bronze (95% Copper, 5% Tin and Zinc)",N/A,B1/P/1/1,,,9baa2eda-9f06-4fb6-ad1e-52df016b0e59
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,"ADAMS, John Q.","Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/6/1,,,819874ad-c8f6-4d1f-92e6-e83031902f74
1990,Dime,P,USA,1,Circ,,,,$0.50 - $3.00,$0.00 ,2/21/2026,,,,Roosevelt Dime,"Franklin D. Roosevelt; Torch, Oak Branch, Olive Branch","Clad (75% Copper, 25% Nickel outer layers; Pure Copper core)",N/A,B1/J/7/6,"Possible mis-hit. 'We' & '0' not visible on front, top half of 'es of' not visible.",,687126ce-055c-4b65-abfc-57bf34c2cf07
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Madison,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/5/4,,,64575fb1-9e4c-4c6e-9109-04ab20b8c051
1980,1,D,USA,1,Circ,,,,$1.00 - $1.25,$0.00 ,2/21/2026,,,,Susan B. Anthony Dollar,Susan B. Anthony; Eagle Landing on the Moon (Apollo 11),"Clad (75% Copper, 25% Nickel outer layers; Pure Copper core)",N/A,B1/F/1/4,,,5d801b8a-e93a-4dcc-9994-02e8d9618bec
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Van Buren,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/6/3,,,4d6bccef-a617-435a-b934-156522e4bf6d
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Monroe,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/5/5,,,4d074c7b-f912-4e0d-8df6-0e20caf10fed
1976,0.5,,USA,1,Circ,,,,$0.50 - $0.75,$0.00 ,2/21/2026,,,,Kennedy Half Dollar (Bicentennial),JFK,"Clad (75% Copper, 25% Nickel outer layers; Pure Copper core)",N/A,B1/E/1/1,,,4180bc19-84fb-462f-b276-24a9e00b3461
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Washington,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/5/1,,,2202d39f-0cab-46b1-9d74-a798d0a41031
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,"ADAMS, John","Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/5/2,,,201f1c55-947d-4fa6-990a-85061a200a4f
,1,,USA,1,Circ,,,,$1.00 - $1.10,$0.00 ,2/21/2026,,,,Presidential $1 Coin Program,Harrison,"Manganese Brass Clad Copper (88.5% Copper, 6% Zinc, 3.5% Manganese, 2% Nickel)",N/A,B1/F/6/4,,,02a39744-7cc7-46c9-a4c6-4ade8907049d
