Year,Denomination,Mint Mark,Program/Series,Theme/Subject
1936,Penny,,Lincoln Cent (Wheat Reverse),"Abraham Lincoln (Obverse), Wheat Ears (Reverse)"
,Dollar,,Presidential $1 Coin,Washington
,1,,Presidential $1 Coin Program,"ADAMS, John"
,1,,Presidential $1 Coin Program,Harrison
,1,,Presidential $1 Coin Program,Monroe
,1,,Presidential $1 Coin Program,Polk
,1,,Presidential $1 Coin Program,"ADAMS, John Q."
,1,,Presidential $1 Coin Program,Van Buren
,1,,Presidential $1 Coin Program,Madison
2000,1,P,Sacagawea,"Sacagawea (Obverse), Eagle (Reverse)"
2000,1,D,Sacagawea,"Sacagawea (Obverse), Eagle (Reverse)"
2001,1,P,Sacagawea,"Sacagawea (Obverse), Eagle (Reverse)"
1980,1,D,Susan B. Anthony Dollar,Susan B. Anthony
1979,1,P,Susan B. Anthony Dollar,Susan B. Anthony
1979,1,D,Susan B. Anthony Dollar,Susan B. Anthony
1976,$0.50 ,,,"John F. Kennedy (Obverse), Independence Hall / Liberty Bell (Reverse - Bicentennial)"
1990,Dime,P,,"Franklin D. Roosevelt (Obverse), Torch, Olive Branch, Oak Branch (Reverse)"
,,,,
