Country,Year,Mint Mark,Denomination,Quantity,Program/Series,Theme/Subject,Condition,Strike Type ,Holder Type (if applicable),Grading Service,Certification Number,Metal Content,Purchase Cost,Purchase Date,Retailer/Website,Retailer Item No.,Retailer Invoice #,Variety,Personal Notes I,Personal Reference #,Storage Location,Original Description from source,Series Start Year,Designer/Engraver,Scarcity/Key Status
,1955,P,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Doubled Die Obverse (DDO),,,,,1909,Victor D. Brenner,Key Date Variety
,1943,P,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Copper Error on Steel Planchet,,,,,1909,Victor D. Brenner,Ultra-Rarity
,1944,P,One-Cent Coin,,Lincoln Cent,,,,,,,Zinc-Coated Steel,,,,,,Steel Error on Copper Planchet,,,,,1909,Victor D. Brenner,Ultra-Rarity
,1922,No D,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,No D (Strong Reverse),,,,,1909,Victor D. Brenner,Key Date Variety
,1909,S VDB,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,V.D.B. Initials,,,,,1909,Victor D. Brenner,Key Date
,1937,D,5-Cent Coin,,Buffalo Nickel,,,,,,,Cupro-Nickel,,,,,,3-Legged Buffalo,,,,,1913,James Earle Fraser,Key Date Variety
,1916,D,Dime,,Mercury Dime,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1942,P,Dime,,Mercury Dime,,,,,,,90% Silver,,,,,,1942/1 Overdate,,,,,1916,Adolph A. Weinman,Key Date Variety
,2004,D,Quarter Dollar,,Wisconsin State Quarter,,,,,,,Cupro-Nickel Clad,,,,,,Extra Leaf High,,,,,1999,Alfred Maletsky,Rare Variety
,2004,D,Quarter Dollar,,Wisconsin State Quarter,,,,,,,Cupro-Nickel Clad,,,,,,Extra Leaf Low,,,,,1999,Alfred Maletsky,Rare Variety
,1970,S,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Small Date / High 7,,,,,1959,Frank Gasparro,Key Date Variety
,1982,D,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Small Date Bronze (Transition Error),,,,,1959,Frank Gasparro,Rare Error
,1992,P,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Close AM,,,,,1959,Frank Gasparro,Ultra-Rare Variety
,1992,D,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Close AM,,,,,1959,Frank Gasparro,Ultra-Rare Variety
,1998,S,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Wide AM (Proof Style on Business),,,,,1959,Frank Gasparro,Rare Variety
,1999,S,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Wide AM (Proof Style on Business),,,,,1959,Frank Gasparro,Rare Variety
,2000,S,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Wide AM (Proof Style on Business),,,,,1959,Frank Gasparro,Rare Variety
,1918,D,5-Cent Coin,,Buffalo Nickel,,,,,,,Cupro-Nickel,,,,,,1918/7-D Overdate,,,,,1913,James Earle Fraser,Key Date Variety
,1916,P,Quarter Dollar,,Standing Liberty,,,,,,,90% Silver,,,,,,Bare Breast (Type 1),,,,,1916,Hermon A. MacNeil,Key Date
,1932,D,Quarter Dollar,,Washington Quarter,,,,,,,90% Silver,,,,,,Key Date,,,,,1932,John Flanagan,Key Date
,1932,S,Quarter Dollar,,Washington Quarter,,,,,,,90% Silver,,,,,,Key Date,,,,,1932,John Flanagan,Key Date
,1983,P,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Doubled Die Reverse (DDR),,,,,1959,Frank Gasparro,Major Variety
,1995,P,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,Doubled Die Obverse (DDO),,,,,1959,Frank Gasparro,Famous Variety
,1972,P,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Doubled Die Obverse (DDO),,,,,1959,Frank Gasparro,Major Variety
,1969,S,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Doubled Die Obverse (DDO),,,,,1959,Frank Gasparro,Rare Variety
,1982,No P,Dime,,Roosevelt Dime,,,,,,,Cupro-Nickel Clad,,,,,,No Mint Mark,,,,,1946,John R. Sinnock,Major Error
,2005,P,5-Cent Coin,,Ocean in View,,,,,,,Cupro-Nickel,,,,,,Speared Bison,,,,,2004,Jamie Franki,Popular Variety
,2000,P,One-Dollar Coin,,Sacagawea Dollar,,,,,,,Manganese-Brass,,,,,,Cheerios Dollar (Enhanced Tail Feathers),,,,,2000,Glenna Goodacre,Key Variety
,2000,P,One-Dollar Coin,,Sacagawea Dollar,,,,,,,Manganese-Brass,,,,,,Wounded Eagle,,,,,2000,Glenna Goodacre,Minor Variety
,2007,P,One-Dollar Coin,,Washington Presidential,,,,,,,Manganese-Brass,,,,,,Missing Edge Lettering (Godless Dollar),,,,,2007,Joseph Menna,Major Error
,1979,P,One-Dollar Coin,,Susan B. Anthony,,,,,,,Cupro-Nickel Clad,,,,,,Wide Rim (Near Date),,,,,1979,Frank Gasparro,Key Variety
,1981,S,One-Dollar Coin,,Susan B. Anthony,,,,,,,Cupro-Nickel Clad,,,,,,Type 2 Clear S (Proof),,,,,1979,Frank Gasparro,Key Variety
,1971,S,One-Dollar Coin,,Eisenhower Dollar,,,,,,,40% Silver,,,,,,Friendly Eagle (Prototype),,,,,1971,Frank Gasparro,Rare Variety
,1972,P,One-Dollar Coin,,Eisenhower Dollar,,,,,,,Cupro-Nickel Clad,,,,,,Type 2 Reverse (Earth without islands),,,,,1971,Frank Gasparro,Key Variety
,1950,D,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,Low Mintage Key,,,,,1938,Felix Schlag,Key Date
,1939,P,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,Doubled Monticello (DDR),,,,,1938,Felix Schlag,Major Variety
,1943,P,5-Cent Coin,,Jefferson Nickel,,,,,,,35% Silver,,,,,,3/2 Overdate,,,,,1942,Felix Schlag,Key Date Variety
,1954,S,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,S Over D (RPM),,,,,1938,Felix Schlag,Popular Variety
,1955,D,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,D Over S (RPM),,,,,1938,Felix Schlag,Popular Variety
,1945,P,5-Cent Coin,,Jefferson Nickel,,,,,,,35% Silver,,,,,,Doubled Die Reverse,,,,,1942,Felix Schlag,Major Variety
,1909,S,One-Cent Coin,,Indian Head Cent,,,,,,,95% Copper,,,,,,Key Date,,,,,1859,James B. Longacre,Key Date
,1877,P,One-Cent Coin,,Indian Head Cent,,,,,,,95% Copper,,,,,,Key Date,,,,,1859,James B. Longacre,Key Date
,1888,P,One-Cent Coin,,Indian Head Cent,,,,,,,95% Copper,,,,,,8 Over 7 Overdate,,,,,1859,James B. Longacre,Key Date Variety
,1908,S,One-Cent Coin,,Indian Head Cent,,,,,,,95% Copper,,,,,,First S-Mint Cent,,,,,1859,James B. Longacre,Key Date
