Country,Year,Mint Mark,Denomination,Quantity,Program/Series,Theme/Subject,Condition,Strike Type ,Holder Type (if applicable),Grading Service,Certification Number,Metal Content,Purchase Cost,Purchase Date,Retailer/Website,Retailer Item No.,Retailer Invoice #,Variety,Personal Notes I,Personal Reference #,Storage Location,Original Description from source
USA,1976.0,P,Half Dollar,1.0,Bicentennial Program,Kennedy Bicentennial,MS-65,"Sharp, full luster",Slab,PCGS (Professional Coin Grading Service),38748465,Cupro-Nickel Clad,0.75,15 JAN 2024,Local Coin Shop,1413.6,JS050119,Dual Dated,"High luster, slight toning on rim.",REF-001,"Binder A, Sleeve 2, Row 1, Column 1",
USA,1999.0,P,Quarter Dollar,1.0,50 State Quarters,Delaware,VF-20,"Moderate wear, clear VDB",2x2 Flip,NGC (Numismatic Guaranty Company),6193674-002,Cupro-Nickel Clad,0.5,22 MAR 2023,Heritage Auctions,ASE,JS050120,Spitting Eagle,First year of the state quarter series.,REF-002,Safe Deposit Box B,
USA,2009.0,D,Quarter Dollar,1.0,DC & US Territories,District of Columbia,PR-70 DCAM,Proof,Album Page,Raw,,Cupro-Nickel Clad,0.5,2025-11-20,Local Coin Shop,2009-DC-Q,CASH-04,Handshake,Found in a bank roll; great condition.,US-09-DC,Album 2,
USA,2005.0,P,5-Cent Coin,1.0,Westward Journey Nickels,Ocean in View,MS-67,Business,Plastic Roll,ANACS,7482910,Cupro-Nickel,0.1,2023-06-10,JM Bullion,05-WJN-RO,JMB-4491,Doubled Die,"Full roll of ""Ocean in View"" nickels.",US-05-NIC,Storage Bin B,
USA,2009.0,S,One-Cent Coin,1.0,Lincoln Bicentennial Cents,Birth and Early Childhood,MS-65,Business,Air-Tite Capsule,PCGS,45882931,Cupro-Nickel Clad,0.05,2024-02-14,APMEX,09-LBC-PR,APX-8821, ,Proof finish; part of 4-coin set.,US-09-CENT,Safe Box B,
USA,2010.0,P,Quarter Dollar,1.0,America the Beautiful,Hot Springs,PR-69 RD,Proof,Slab,ICG,22910485,Cupro-Nickel Clad,0.5,2024-08-30,ModernCoinMart,10-ATB-HS,MCM-771,Missing Edge Lettering,Early release designation.,US-10-ATB,Display Case,
USA,2007.0,D,One-Dollar Coin,1.0,Presidential $1 Coins,George Washington,MS-66,Business,Mint Box,Raw, ,Manganese-Brass Clad,2.0,2024-03-15,GovMint,07-P1-GW,GVM-332, ,Uncirculated from Denver Mint.,US-07-PRES,Drawer 4,
USA,2009.0,P,One-Dollar Coin,1.0,Native American $1 Coins,Three Sisters,PR-70,Proof,Cardboard 2x2,SEGS,1102938,Manganese-Brass Clad,2.0,2025-09-12,eBay,09-NA-01,EB-4492, ,Beautiful edge lettering.,US-09-NAT,Box 1,
USA,2019.0,P,One-Dollar Coin,1.0,American Innovation $1,Delaware – First State,MS-67,Reverse Proof,Slab,CACG,900281745,Manganese-Brass Clad,2.0,2025-12-01,GreatCollections,19-AI-DE,GC-2210,"Privy Mark ""250""","High-end strike, CAC approved.",US-19-INO,Safe Box A,
USA,2022.0,P,Quarter Dollar,1.0,American Women Quarters,Maya Angelou,MS-68,Business,Slab,NGC,6328190-005,Cupro-Nickel Clad,0.5,2024-04-22,Heritage Auctions,22-AW-MA,HA-33102, ,First coin in the Women's series.,US-22-WMN,Safe Box A,
USA,2026.0,S,Quarter Dollar,1.0,2026 Semiquincentennial,Mayflower Compact,PR-70 DCAM,Proof,Slab,PCGS,82910442,.999 Fine Silver,0.5,2026-01-05,US Mint,26QRTR_A,USM-2026-1, ,Special 250th Anniversary design.,US-26-SQ,Display Case,
USA,2027.0,P,Quarter Dollar,1.0,Youth/Paralympic Quarters,Skateboarding,MS-69,Uncirculated,2x2 Flip,Raw, ,Cupro-Nickel,0.5,2027-02-10,Local Coin Shop,27-YSP-SK,CASH-99, ,Planned purchase for next year.,US-27-YSP,Album 3,
USA,1986.0,S,One-Dollar Coin,1.0,American Eagle Silver,Walking Liberty,PR-69,Proof,Slab,PCGS,10293847,.999 Fine Silver,2.0,2024-10-10,APMEX,86-ASE-PR,APX-1120, ,Key date; First year of issue.,US-86-ASE,Safe Box B,
