Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1954","S","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Gem Uncirculated 65","$225.00","$35 – $50","","",""
"2023","","$1","The Statehood Innovation Dollar Coin Collection","Florida","","$17.95","$1.50 – $4.00","","",""
"2010","D","Penny","Lincoln Cent","Abraham Lincoln, Union Shield","Mint State","$0.25","$0.15 – $1.00","","",""
"1955","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$37.00","$0.03 – $0.15","","",""
"1948","","Five Cents","USA Invoice Import","Unmapped","Average Circulated","$2.25","$0.10 – $0.35","","",""
"1903","","Half Dollar","Barber","Liberty Head","Ungraded","$42.50","$15 – $250","","",""
"2023","P","Quarter Dollar","American Women Quarters","Jovita Idar","Uncirculated","$1.00","$0.25 – $1.50","","",""
"1873","","1 Dollar","Trade Dollar","Unmapped","Extremely Fine","$495.00","Pending","","",""
"2024","P","Half Dollar","Kennedy Half Dollar","Unmapped","Uncirculated","$0.00","$1.00 – $3.00","","",""
"1867","S","Half Dollar","Liberty Seated","Unmapped","Good/Very Good","$77.50","Pending","","",""
"2024","S","Quarter Dollar","American Women Quarters","Pauli Murray","Ch Proof-63","$8.95","","","",""
"2023","P","Native American Dollar","Native American Dollar Program","Maria Tallchief","Uncirculated","$0.00","Pending","","",""
"1978","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","points","$1.50 – $3.50","","",""
"1925","","Penny","Lincoln Head Cent","Lincoln Head","Genuine","$0.00","$0.15 – $5.00","","",""
"1939","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1958","","Quarter","Washington Silver Quarter","Unmapped","Circulated","22.50","$6 – $8","","",""
"2016S","","quarter","National Park Quarters","Unmapped","CH-Proof 63","$5.50","$3 – $7","","",""
"1980","D","Penny","Lincoln Memorial Cent","Lincoln Head","Uncirculated","$0.45","$0.15 – $1.50","","",""
"1981","S","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Proof-63","$0.00","Pending","","",""
"2024","S","Half Dollar","USA Invoice Import","Kennedy Half Dollar","Ch Proof-63","$16.50","","","",""
"2022","S","Half Dollar","USA Invoice Import","Kennedy 50C","Ch Proof-63","$107.00","","","",""
"1974","S","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$1.40","$0.25 – $1.50","","",""
"2022","D","Quarter","American Women Quarters","Sally Ride","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1915","S","Penny","Lincoln Head Cent","Lincoln Head","Very Fine","$85.00","$20 – $35","","",""
"","","Dollar","Statehood Innovation Dollar Coin Collection","Missouri","","$17.95","","","",""
"1954","S","Nickel","Jefferson Nickel","Thomas Jefferson","Uncirculated","$5.50","$2 – $6","","",""
"2012","D","Penny","Lincoln Cent","Union Shield Reverse","Uncirculated","$3.00","$0.10 - $0.50","","",""
"1973","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"2009","S","Dime","Roosevelt Dime","Unmapped","Choice Proof 63","6.00","$5 – $12","","",""
"1866","","Half Dollar","Half Dollar Club Selection","Liberty Seated","Very Fine 35","$299.00","","","",""
"1893","CC","Dollar","Morgan Dollar","Liberty Head, Eagle","Fine/Very Fine","$850.00","$450 – $650","","",""
"1980","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Choice Proof 63","$11.00","$3 – $7","","",""
"1959","","Penny","Lincoln Cent","Abraham Lincoln","Choice Proof 63","$4.75","$3 – $8","","",""
