doc_id,description,denomination_parsed,series_year_parsed,type_parsed,issuer_parsed
00b1cf06-18fb-4f28-b373-bed074a35341,$5 Federal Reserve Split Quad Note,$5,,,
00d5f6a9-d781-4659-8de4-3c49f65ad655,$1 Federal Reserve Note,$1,,Federal Reserve Note,
01598715-3532-45d1-8636-d08d4e04ab35,$1 silver certificate,$1,,Silver Certificate,
02f1f861-2578-42c9-bddf-afb58d9570c8,$10 Silver Certificate - No Yellow Seal,$10,,Silver Certificate,
0342508c-19ff-4eb4-ab71-202498839396,$5 Legal Tender Note Spelling Error Reverse P*C*BLIC EPQ,$5,,Legal Tender Note,
0449a33d-a22e-4018-8a79-5ad1b8a7e128,$5 Legal TenderNote large size PMG,$5,,,
05b2ca0f-3b28-4ad8-bb74-76bcc3473b0e,$5 Legal Tender Note,$5,,Legal Tender Note,
0690d75a-931a-4c03-a8ea-b2c70f20e2c2,$2 legal tender note,$2,,Legal Tender Note,
076219f6-5198-4628-864d-dc17b932b719,$1 Silver Certificate large size 2 consecutive Serial #s (FR237) PCGS,$1,,Silver Certificate,
07923724-faa8-42de-b013-9a1c04c810ea,25C Fractional Currency,25,,Fractional Currency,
07969ed5-f14e-4e9d-9656-93458cda6302,19th Century Obsolete Currency,,,,
087b9066-7de9-43ee-b106-d01a58314f20,1 silver certificate Hawaii (FR2300) (SC Block) PMG CU64 EPQ,,,Silver Certificate,
0a256c7c-a7ea-4e02-9adb-67d10f09ceb0,$2 Silver Certificate Large Size,$2,,Silver Certificate,
0b7d4e18-8663-46e2-a15c-9fdbbbecfce6,$1 Silver Certificate Star Note,$1,,Silver Certificate,
0baa8aa6-e268-4586-ba9a-6292ba8995f6,$1 Federal Reserve Star Note,$1,,,
0bbb8757-2a9f-4d0d-9d25-8e0e961f7d7a,$10 Gold Certificate Large Size,$10,,Gold Certificate,
0d686842-1033-4755-a635-c0317f2c1e0d,$1Federal Reserve Star Note,$1,,,
0e6e757c-8579-435f-ba6f-1f1e6c05412b,$20 Federal Reserve Bank Note,$20,,Federal Reserve Bank Note,
0e9eeec8-dfc5-418c-afc3-597898ff7652,$2 New Orleans Jackson and Great Northern RR Co W-LA 380-002-G050,$2,,,
0ec4d582-1264-4da1-bfac-d712efe056fe,$2 Legal Tender Star Note,$2,,Legal Tender Note,
0f2da1a0-1152-45bc-9eba-cae06f0f4a88,$1000 3rd Bank of the United States PMG New York Tear Repair Previously Mounted,$1000,,,
0f688f7c-0256-41dd-a343-25dceffcc454,$1 silver certificate,$1,,Silver Certificate,
0fa622a0-ba81-492d-bbcc-b070bc9ac79e,$1 silver certificate Large size 2 consecutive serial # (FR237)  PCGS,$1,,Silver Certificate,
118419d7-93be-458e-b218-70ef48ec45dc,$1 Federal Reserve Bamk Note large size PCGS 65PPQ,$1,,,
11eea9ed-470f-48ce-ae61-6b12bb57a24d,$1 Legal Tender Note Large Size,$1,,Legal Tender Note,
125ea498-a637-403f-9840-d7bbbd633025,$1 Federal Reserve Liars Note Six in a Row,$1,,,
12df0fc6-5194-4c7b-8b62-4bea1efb25c4,$1 large size note starter set,$1,,,
1342dc86-e12d-4f0b-9aa7-218b4f8e0c61,$1 federal reserve note,$1,,Federal Reserve Note,
145dccaf-5fcc-426b-82bc-2cf02b6cad7c,$2 Legal Tender Note,$2,,Legal Tender Note,
146ea1ae-64f7-447c-b215-5f3498fdf360,$1 Federal Reserve Star Note,$1,,,
14e86a13-2b34-431c-83ec-f67d97e47ef9,$1 Ferderal Reserve Star Note,$1,,,
16012432-73c3-4fa6-957b-2e45adade209,$100 Federal Reserve Note,$100,,Federal Reserve Note,
187bffa4-81a3-4df7-95a8-77b76e06c47f,$.50 Cents Confederate Note,50,,Confederate,
18f617df-fd26-4eac-a5e6-02c38c3550c8,$10 Federal Reserve Star Note,$10,,,
196efc9f-8f8f-43c4-8c01-5275f7e46756,$10 Silver Certificate,$10,,Silver Certificate,
1a430eea-6a15-4e9a-9515-b67e7860c328,$20 Federal Reserve Bank Note,$20,,Federal Reserve Bank Note,
1a726b24-aa24-4fce-ae60-74e9765eb9b9,$1 Federal Reserve Star Note,$1,,,
1af7178f-a7d4-463b-ae66-a508a6912da2,$1 Confederate Note,$1,,Confederate,
1af738a8-4df5-4bfb-8609-031b867acf50,$2 Federal Reserve Star Note,$2,,,
1b14218e-4bd4-40b6-bdc0-fd676f7cb136,$10 Federal Reserve Note,$10,,Federal Reserve Note,
1bff68c9-9147-4254-84e1-7e2dd743a18a,$5 Falls Village Connecticut Iron Bank (CT120G8),$5,,,
1c714347-d968-4cb4-9d2e-340b5c4cc9ea,$50 Confederate Note,$50,,Confederate,
1d0a722d-b9b0-4f5a-8a13-7ba145bdac01,$1 Silver Certificate Funnyback,$1,,Silver Certificate,
