doc_id,description,denomination,type,year,friedberg,grade,cost
0449a33d-a22e-4018-8a79-5ad1b8a7e128,$5 Legal TenderNote large size PMG,$5,,1880,,choice AU 58,$1325.00
07969ed5-f14e-4e9d-9656-93458cda6302,19th Century Obsolete Currency,,Obsolete Currency,,,,$36.50
0bbb8757-2a9f-4d0d-9d25-8e0e961f7d7a,$10 Gold Certificate Large Size,$10,Gold Certificate,1907-22,,Very Good,$325.00
0d686842-1033-4755-a635-c0317f2c1e0d,$1Federal Reserve Star Note,$1,,2003A,,crisp unc,$9.70
0e9eeec8-dfc5-418c-afc3-597898ff7652,$2 New Orleans Jackson and Great Northern RR Co W-LA 380-002-G050,$2,,1861,,crisp unused,$199.00
0f2da1a0-1152-45bc-9eba-cae06f0f4a88,$1000 3rd Bank of the United States PMG New York Tear Repair Previously Mounted,$1000,,,,Select Unc 6,$1495.00
12df0fc6-5194-4c7b-8b62-4bea1efb25c4,$1 large size note starter set,$1,,1899-1918,,good/very good,points
14e86a13-2b34-431c-83ec-f67d97e47ef9,$1 Ferderal Reserve Star Note,$1,,1999,,choice crisp,$12.50
187bffa4-81a3-4df7-95a8-77b76e06c47f,$.50 Cents Confederate Note,50,Confederate,1863,,Circulated,$115.00
1af7178f-a7d4-463b-ae66-a508a6912da2,$1 Confederate Note,$1,Confederate,1864,,E Fine or Be,$241.00
1bff68c9-9147-4254-84e1-7e2dd743a18a,$5 Falls Village Connecticut Iron Bank (CT120G8),$5,,1847-1850's,,CH Near Mint,$634.00
1c714347-d968-4cb4-9d2e-340b5c4cc9ea,$50 Confederate Note,$50,Confederate,1864,,Circulated,$138.00
20999425-4077-4887-9ff0-e819dceb3086,$10 National bank note large size plainback,$10,National Bank Note,1902,,Good/very Good,$252.00
21131bc4-b62d-4243-8fdb-e3155aeefbb7,$5 egal Tender Note,$5,,1928B,,Fine,$58.95
225340ee-e21d-433e-8b0c-0ac83414bbe9,National Bank Note Type 1 Beatrice NE charter #2357,,National Bank Note,1929,,fine,$165.00
257a0f1b-5f4c-4a9b-8d2d-2e2c745d4157,$5 Confederate Note,$5,Confederate,1861,,extra fine,$292.00
299ef9a9-97e9-4721-9f57-1582a48fb36b,$20 Gold Certificate Latge size,$20,Gold Certificate,1906,,good,$413.00
2ba8c63d-566a-424f-8616-15af3dc51390,$40 continental currency,$40,,1778,,very fine,$350.00
2ea45a00-908d-477b-8eeb-20a127ae6db2,$500 confederate note PMG,$500,Confederate,1864,,very fine 35,$825.00
38f79268-6312-4e7b-9080-7f146190c0fc,$2 Confederate Note,$2,Confederate,1862,,"""",$186.00
396a98c6-24d0-4208-b348-c13498690c49,ilver Certificate Large Size,,,1886,,Good/Very Good,$450.00
39e15347-e2eb-4af6-a621-fa3650e9dbe4,"$5, $10, and $20  Farmer's Bank of Kentucky three note set",$5,,1850's-1960's,,crisp inised,$1020.00
3b8f8399-1d73-42f7-882e-d540b977ac0f,$20 Confedwrate Note,$20,,1864,,crisp unused,$132.00
3ec35374-d5ed-4f0a-b123-d151089c441d,$20 Confederate Note,$20,Confederate,1861,,very fine,$185.00
425e75fa-21a2-413f-aa8b-e0ac6e7b4c09,$1Federal Reserve Note,$1,,1988A,,crisp unc,$11.75
42ae44e7-3673-49e4-a611-c5ffd2a173f6,$5 National Bank Note T2,$5,National Bank Note,1929,,very good,$128.00
472fe365-3508-437a-8b4f-e86e10dea664,$50 gold certificate large size,$50,Gold Certificate,1862,,fine,$1895.00
4920074b-5bb5-4e9a-b2f8-26927c564083,$5 National bank notr,$5,National Bank Note,1902,,good,$234.00
4d74ac8d-d73c-4ba7-a787-63d80a3531c4,$20 National Bank Note T1,$20,National Bank Note,1929,,Fine,$135.00
51617d29-1663-49cb-ac07-d37d01fc8dab,2 Continental Currency,,,1776,,circulated,$213.00
52b37bdf-b876-47ef-904a-db30ee5eff6e,$5 National Bank Note Large size Bronkville PA charter #3051,$5,National Bank Note,1902,,v. Fine/E.F.,$595.00
53f2d258-d5ad-4dca-b1e5-a1949cc60935,$100 Confederate Note,$100,Confederate,1862,,Circulated,195..00
579c33da-3c39-4488-87b7-656dd128bf2a,$100 Confederate Note,$100,Confederate,1862,,E Fine or Be,$256.00
59f0965f-0126-463f-a86b-ad5b847fbd8f,$1Federal Reserve Note,$1,,1993,,Crisp Unc.,$10.50
5aa08b79-11af-4fda-b36f-3d3add60886d,$1 Silver Cerificate Large Size Eagle,$1,,1899,,Fine,$246.00
5c8d9883-6aa3-4cf2-aea7-9630adfe1260,$5 National Bank Note Large size third issue (Plain back),$5,National Bank Note,1902,,fine,$294.00
5d4f37e3-026b-4af1-8c0d-e841fd64c08b,"Union County Bank of Plainfield NJ (2) $1, $2, $3 uncut sgeet of 4",$1,,19th Century,,crisp unused,$907.00
5db38a87-41d9-45fb-a5c8-c5b8c0436672,$1Federal Reserve Note,$1,,1969A,,Choice Crisp,$12.95
6009ee2d-d8dd-4c20-98ac-b0b2c53f4788,$5 National Bank Note Type 1 Honolulu HI Charter #5550,$5,National Bank Note,1929,,good/very good,$495.00
