priority,flag,coin_id,year,program,denomination,mint_mark,condition,cost,quantity,description,personal_notes,source_file,question_for_AJ
1,SET with Qty=12 — needs individual coin breakdown,7dcba4e6-d9d5-4698-a630-9c0adf868090,1890,,,,Average Circulated,$99.00,12,,"Set of 12 coins, with years ranging from 1890 to 1902. No sp",,
1,Year is a range '1968-98' — which specific year(s)?,0ae1daa6-c92a-4b2b-99c2-1c04bee4d227,1968-98,31 different US proof sets,,,ch proof 63,$599.00,1,31 different US proof sets,,miscellaneous purchases.xlsx,
1,Year is a range '2018-20' — which specific year(s)?,acdfa271-9d92-428f-8625-8d7d2adf08ac,2018-20,41 Native American quarters and folder,,,circulated,$196.00,1,41 Native American quarters and folder,,miscellaneous purchases.xlsx,
1,Year is a range '1916-1920' — which specific year(s)?,537b08c8-95c6-4311-9599-fbd96fe5f16c,1916-1920,5 Different Mint Weat Cents,,,,$56.95,1,5 Different Mint Weat Cents,,miscellaneous purchases.xlsx,
1,Possible CURRENCY — should be in currency collection,cfb0ba60-51eb-43f5-8f11-9d0b9dacef5a,,50 bank notes from 50 countries with chart,,,average circ,$49.95,1,50 bank notes from 50 countries with chart,,miscellaneous purchases.xlsx,
1,Possible CURRENCY — should be in currency collection,c28a6782-8c53-412c-9476-e8eb680c8b2a,1895,Barber Dimes,Barber Silver Dimes,S,About Fine,$230.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,bde99794-e59a-41c6-b430-d987464f0c62,1898,Barber Dimes,Barber Silver Dimes,P,Good,$24.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,c7c7096a-eb14-4f64-abdb-c8854de0d9a8,1899,Barber Dimes,Barber Silver Dimes,P,Good,$24.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d67189aa-a629-4b5b-a3ec-199d9ab4f705,1900,Barber Dimes,Barber Silver Dimes,P,Good,$23.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,4af893e6-e25a-4f52-9d60-97745fde37c5,1901,Barber Dimes,Barber Silver Dimes,P,Good,$23.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d4905817-9fc5-4673-97bf-85ea3e2d3b29,1902,Barber Dimes,Barber Silver Dimes,P,Good,$23.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,bb4d74f8-f3d3-43f7-a5ac-706caaf7615e,1903,Barber Dimes,Barber Silver Dimes,O,Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,c1de1b69-92fa-4f62-acb2-eed771751b03,1903,Barber Dimes,Barber Silver Dimes,P,Very Good,$28.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,ae4185bb-0bd8-4a24-93d2-09c5528f6c11,1904,Barber Dimes,Barber Silver Dimes,P,Average Circulated,$22.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,0d06f0d9-0c05-488e-b02e-49e8f213d3a2,1905,Barber Dimes,Dime,O,Average Circulated,$24.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,46ae04d6-ece2-4009-a901-e3f72a6eeea8,1905,Barber Dimes,Barber Silver Dimes,P,Proof-63,$925.00,1,,Notes,,
