Coin_ID,Year,Mint_Mark,Denomination,Program_or_Series,Prior_Mismatches,Obverse_Image_URL,Reverse_Image_URL
13cc226c-5c64-4f89-b42e-d6ec7eb056a6,1911,,Penny,Lincoln Head Penny,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/13cc226c-5c64-4f89-b42e-d6ec7eb056a6/obverse.jpg?t=1782428692,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/13cc226c-5c64-4f89-b42e-d6ec7eb056a6/reverse.jpg?t=1782428693
09437b69-d50b-46ff-a6ed-17f99ffb0122,1938,S,Quarter,Washington Silver Quarter,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/09437b69-d50b-46ff-a6ed-17f99ffb0122/obverse.jpg?t=1782428473,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/09437b69-d50b-46ff-a6ed-17f99ffb0122/reverse.jpg?t=1782428474
0e3b7e6f-f8ee-429b-a0ca-ffb527e19ac9,1843,,Dollar,Liberty Seated,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/0e3b7e6f-f8ee-429b-a0ca-ffb527e19ac9/obverse.jpg?t=1782428566,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/0e3b7e6f-f8ee-429b-a0ca-ffb527e19ac9/reverse.jpg?t=1782428567
1e9037e5-4164-4138-a210-59838977e1f6,1847,O,Half Dollar,Liberty Seated,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/1e9037e5-4164-4138-a210-59838977e1f6/obverse.jpg?t=1782428859,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/1e9037e5-4164-4138-a210-59838977e1f6/reverse.jpg?t=1782428860
6bff2fe5-6f90-47cd-ad81-ad013f9d4fb2,1830,,Nickel,Capped Bust,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/6bff2fe5-6f90-47cd-ad81-ad013f9d4fb2/obverse.jpg?t=1782430082,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/6bff2fe5-6f90-47cd-ad81-ad013f9d4fb2/reverse.jpg?t=1782430086
c4bdf52b-586b-4b29-a536-b229c57baf25,1932,D,Penny,Lincoln Cent,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/c4bdf52b-586b-4b29-a536-b229c57baf25/obverse.jpg?t=1782431505,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/c4bdf52b-586b-4b29-a536-b229c57baf25/reverse.jpg?t=1782431505
8a16b0e2-e14d-438e-82d2-08fb65178d80,2017,D,1 Dollar,Native American Dollar,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/8a16b0e2-e14d-438e-82d2-08fb65178d80/obverse.jpg?t=1782430532,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/8a16b0e2-e14d-438e-82d2-08fb65178d80/reverse.jpg?t=1782430533
66d66032-4507-4e7c-aed2-ab55ffb1da4e,1982,,Penny,Lincoln Head Penny,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/66d66032-4507-4e7c-aed2-ab55ffb1da4e/obverse.jpg?t=1782429972,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/66d66032-4507-4e7c-aed2-ab55ffb1da4e/reverse.jpg?t=1782429972
48abd19e-3181-48dc-b261-8512414f414d,1873,,Dime,Liberty Seated Silver Dime,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/48abd19e-3181-48dc-b261-8512414f414d/obverse.jpg?t=1782429507,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/48abd19e-3181-48dc-b261-8512414f414d/reverse.jpg?t=1782429508
5e21bf34-36ec-494d-9f31-f965808fad58,1960,,Dime,Roosevelt Dime,corrected mismatch/missing image.,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/5e21bf34-36ec-494d-9f31-f965808fad58/obverse.jpg?t=1782429862,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/5e21bf34-36ec-494d-9f31-f965808fad58/reverse.jpg?t=1782429863
