Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse,Has Reverse,Grok Verified
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Memorial Cent"" (Bronze)",Yes,No,No,No
coin,Half Dollar,One Cent,,,"1 Cent ""Lincoln Memorial Cent"" (copper plated zinc)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Nickel"" (1st portrait)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Wartime Nickel"" (1st portrait)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Louisiana Purchase)",Yes,No,No,No
coin,Quarter,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Keelboat)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Bison)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Ocean View)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Jefferson Nickel"" (2nd portrait, Return to Monticello)",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Mercury Dime""",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Roosevelt Silver Dime""",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Roosevelt Dime""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Silver Quarter""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Bicentennial)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Delaware)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Pennsylvania)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Jersey)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Georgia)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Connecticut)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Massachusetts)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maryland)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Carolina)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Hampshire)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Virginia)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New York)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Carolina)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Rhode Island)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Vermont)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Kentucky)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Tennessee)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Ohio)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Louisiana)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Indiana)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Mississippi)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Illinois)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Alabama)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maine)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Missouri)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Arkansas)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Michigan)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Florida)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Texas)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Iowa)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Wisconsin)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (California)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Minnesota)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Oregon)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Kansas)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (West Virginia)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nevada)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nebraska)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Colorado)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Dakota)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Dakota)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Montana)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Washington)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Idaho)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Wyoming)",Yes,No,No,No
