id,Year,Mint Mark,Denomination,Condition,Theme/Subject,Country,Variety,PCGS Number
00154802-4a9a-4a22-82bd-a01345ebde10,,,$1,,Florida,USA,,
010cafb3-a808-4ac4-b558-7245eba78ccb,2016S,,quarter,CH-Proof 63,,US,,
01de144f-2e8c-4c9d-a4f3-5a7b79019d58,1946,,,Circulated,1946 5-Coin Time Capsule Year Set,USA,,
02576b1d-ece9-4624-afd3-0a98e697ff01,2020D,,quarter,uncirculated,,US,,
02ab6224-b15c-4535-87da-7c3bff4ba146,,,Five Cents,,SHIPMENT 6,USA,,
02df0aab-c7e2-4ba6-9cf4-2a2672f1bfc7,,,Five Cents,,Shipment 5,USA,,
03153afb-9f63-4c3c-b30b-0973c47e679f,,,,fair good,,US,,
03cbd5ae-0fcd-4b6a-98bc-69e9d98cdeab,1863-1867,,10 Cent Fractional Currency,Very Fine,,USA,w/surchrge 0-63,
0468b9f1-350f-42af-b8e2-4a4391e339e6,2020P,,quarter,uncirculated,,US,,
07d4031a-a0bd-42a2-a702-a4e81b5b01e7,1989S,,,ch proog 63,,US,,
07e4a3cc-a9c6-49e5-96d8-e2f1a3a1b2fa,,,$1 Indian Territory Note,Crisp Unused,"Haileyville, Oklahoma",USA,,
08d6845d-0557-4b67-b259-543c0d55662a,,,Kennedy Half Dollar,Ungraded,,US,,
09139582-5418-477e-8d68-2b8e8122ae8b,2023,D,,Uncirculated,Denver Mint Panel,USA,,
0a15eadb-0f75-4736-b40f-5880a45a7ec3,2019D,,quarter,uncirculated,,US,,
0ae1daa6-c92a-4b2b-99c2-1c04bee4d227,1968-98,,,ch proof 63,,US,,
0ae6ce64-6ec6-4599-92dc-2413ef43b60c,2006S,,,ch proof 63,,US,,
0b5595f3-aadc-4150-93eb-70d5a70cb1b6,,,Half Dollar,,,USA,,
0b8038f9-195b-46f3-9f34-f2a3c7ee28de,2019P,,quarter,uncirculated,,US,,
0d7b3a6d-cd7e-4faf-88f7-6d03653b08c9,1976S,,,ch proog 63,,US,,
0ded0d31-5c25-4846-9e59-d1dbe7dcc3d3,1862-1863,,10C Fractional Currency,Choice Crisp,,USA,,
0e48a7da-5939-45cb-a1bd-3d31bb35ce97,1936-38,,Nickel,genuine or B,,US,,
0ee8f20c-b107-46e5-b5c6-ea204e22d239,2018D,,quarter,uncirculated,,US,,
0f220d1c-a465-4e4a-9735-a93b8bb13cff,1951,,,Circulated,5-Coin Time Capsule Year Set,USA,,
124e8973-f2c6-49d0-8b5d-f5f0ede660b3,2016D,,quarter,uncirculated,,US,,
12dc00d3-e38b-4255-a57a-e56d66548151,1935,A,$1 Silver Certificate,Uncirculated-65 Premium,North Africa RC Block,USA,,
134ee30e-0dd9-4a46-9726-8ab045c2aa42,,,,,Mayflower Compact,USA,,
138a2e9a-c6d9-4fda-af82-3741bf86b6d6,2019D,,quarter,uncirculated,,US,,
142728b2-1111-4ded-8228-f585ffb0879f,1929,,$10 Federal Reserve Bank Note,Fine,,USA,,
142be403-d9ab-48d3-8c24-0ee6b17e9247,,,,,Shipment # 4,USA,,
15986db0-f76b-46c3-afe7-060a0d1bcb80,2018D,,quarter,uncirculated,,US,,
1617b122-60b9-448b-9c8b-ddd2f97a7631,1934,A,$500 Federal Reserve Note,Fine (F-12),$500 Federal Reserve Note,USA,,
16514dac-1400-4c41-8b91-9a22ea5c5191,1983S,,,ch proog 63,,US,,
1743465c-90e0-4de1-aa9b-6a57cd911f3a,1826,,$50,Extremely Fine or Better,New York Marble Manufacturing NY-1705-G22,USA,,
174b1ff2-8dbb-4e36-b7ce-5a316bcdb489,,,$1,,Illinois,USA,,
17ad0010-5ef9-474f-9e71-0e0d8fc6436e,1864-1869,,25C Fractional Currency,Crisp Uncirculated,,USA,,
17e6602f-f930-4872-b7da-1a8916a108fb,1990,,Mixed,Choice Proof-63,Eisenhower Centennial,USA,,
1863c887-9198-4a3c-93d4-60f76b409483,2016S,,quarter,CH-proof 63,,US,,
1a70cac2-718a-446b-aa63-62419182326e,,,,,Shipment # 6,USA,,
1b8edd54-3863-44e8-b070-67abcd004759,Multiple,,$1,Ungraded,,US,,
1bbbd3b5-d201-4da3-b06d-270926a44f93,1958,,,Circulated,America Revisited Selection,USA,,
1c8e7e49-e355-49b6-a922-a3d96b1ad113,1866,,,VF/EF,,US,,
