id,Year,Mint Mark,Denomination,Condition,Theme/Subject,Country,Variety,PCGS Number,Source Collection,Grading Service,Cert Number,Program/Series,Enrichment Status
00154802-4a9a-4a22-82bd-a01345ebde10,2023,,$1,,Florida,USA,,198246,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
010cafb3-a808-4ac4-b558-7245eba78ccb,2016S,,quarter,CH-Proof 63,,US,,,coins,,,National Park Quarters,Enriched from Firestore
01de144f-2e8c-4c9d-a4f3-5a7b79019d58,1946,,,Circulated,1946 5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
02576b1d-ece9-4624-afd3-0a98e697ff01,2020D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
02ab6224-b15c-4535-87da-7c3bff4ba146,,,Five Cents,,SHIPMENT 6,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
02df0aab-c7e2-4ba6-9cf4-2a2672f1bfc7,,,Five Cents,,Shipment 5,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
03153afb-9f63-4c3c-b30b-0973c47e679f,,,,fair good,,US,,,coins,,,"103-76BC Alexander Jannaeus Bronze Widow's Mite H469-70,72",Enriched from Firestore
03cbd5ae-0fcd-4b6a-98bc-69e9d98cdeab,1863-1867,,10 Cent Fractional Currency,Very Fine,,USA,w/surchrge 0-63,,coins,,,Fractional Currency,Enriched from Firestore
0468b9f1-350f-42af-b8e2-4a4391e339e6,2020P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
07d4031a-a0bd-42a2-a702-a4e81b5b01e7,1989S,,5-Coin Proof Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 5 coins,Enriched from Firestore
07e4a3cc-a9c6-49e5-96d8-e2f1a3a1b2fa,,,$1 Indian Territory Note,Crisp Unused,"Haileyville, Oklahoma",USA,,,coins,,,USA Invoice Import,Enriched from Firestore
08d6845d-0557-4b67-b259-543c0d55662a,,,Kennedy Half Dollar,Ungraded,,US,,,coins,,,The Half Dollar Club,Enriched from Firestore
09139582-5418-477e-8d68-2b8e8122ae8b,2023,D,Proof/Mint Set,Uncirculated,Denver Mint Panel,USA,,,coins,,,U.S. Uncirculated Coin Mint Sets,Enriched from Firestore
0a15eadb-0f75-4736-b40f-5880a45a7ec3,2019D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
0ae1daa6-c92a-4b2b-99c2-1c04bee4d227,1968-98,,Proof/Mint Set,ch proof 63,,US,,,coins,,,31 different US proof sets,Enriched from Firestore
0ae6ce64-6ec6-4599-92dc-2413ef43b60c,2006S,,14-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 14 Coins,Enriched from Firestore
0b5595f3-aadc-4150-93eb-70d5a70cb1b6,,,Half Dollar,,,USA,,,coins,,,The Half Dollar Club,Enriched from Firestore
0b8038f9-195b-46f3-9f34-f2a3c7ee28de,2019P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
0d7b3a6d-cd7e-4faf-88f7-6d03653b08c9,1976S,,Proof/Mint Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 6 coins,Enriched from Firestore
0ded0d31-5c25-4846-9e59-d1dbe7dcc3d3,1862-1863,,10C Fractional Currency,Choice Crisp,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
0e48a7da-5939-45cb-a1bd-3d31bb35ce97,1936-38,,Nickel,genuine or B,,US,,,coins,,,Last seven Buffalo Nickels,Enriched from Firestore
0ee8f20c-b107-46e5-b5c6-ea204e22d239,2018D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
0f220d1c-a465-4e4a-9735-a93b8bb13cff,1951,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
124e8973-f2c6-49d0-8b5d-f5f0ede660b3,2016D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
12dc00d3-e38b-4255-a57a-e56d66548151,1935,A,$1 Silver Certificate,Uncirculated-65 Premium,North Africa RC Block,USA,,,coins,PMG,,American Paper Money Club Selection,Enriched from Firestore
134ee30e-0dd9-4a46-9726-8ab045c2aa42,,,,,Mayflower Compact,USA,,,coins,,,The Celebrating America Coin Collection,Enriched from Firestore
