coin_id,year,mint_mark,program_series,program_slug,theme_subject,denomination,condition,personal_obverse_url,personal_reverse_url,has_personal_obverse,has_personal_reverse,has_ref_obverse_in_index,has_ref_reverse_in_index,obverse_status,reverse_status
05518d37-0e22-41dd-b039-ce9ae335ca58,,,Morgan Silver Dollar,morgan-dollar,,$1,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
252a4fdb-45d8-4938-9467-a9796c226261,1928,D,Lincoln Cent (Wheat Reverse),lincoln-cent,Abraham Lincoln / Wheat Ears,Penny,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
2d4e28c1-01ad-4774-afc1-bf46a034e892,2019,"P, D, S",America the Beautiful / National Park Quarters,america-the-beautiful,National Park Quarter Set 15 Coins,Washington Quarter,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
35dbeaf3-8d42-43bb-a164-021ede3a9cd0,,,Morgan Silver Dollar,morgan-dollar,,$1,AU,,,NO,NO,NO,NO,MISSING,MISSING
3cd08de3-ddfa-462c-97bc-ed58a5e046b6,1963,,Jefferson Nickel,jefferson-nickel,Thomas Jefferson / Monticello,Nickel,Gem Proof,,,NO,NO,NO,NO,MISSING,MISSING
420b2d52-ccf4-42f7-8d75-0c51850ac29e,2006,S,Westward Journey,unknown,Return to Monticello,Nickel,Proof-63,,,NO,NO,NO,NO,MISSING,MISSING
444b3219-7651-4c6f-b363-4c89a87a0741,,,Morgan Silver Dollar,morgan-dollar,,$1,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
4812c786-0cfe-4033-8ff8-44ce33803574,,,Morgan Silver Dollar Set,morgan-dollar,,$1,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
4b6cb1ad-6615-439a-8d55-0f0f66ff31a9,1954,,Jefferson Nickel,jefferson-nickel,Thomas Jefferson / Monticello,Nickel,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
4e044416-bb52-482a-a323-3a8de60c85a7,,,Morgan Dollar,morgan-dollar,,$1,Uncirculated W/Original Gov't Box & COA,,,NO,NO,NO,NO,MISSING,MISSING
61d09301-81d9-488f-8a0a-fdc7964c2e31,1891,CC,Morgan Dollar,morgan-dollar,,$1,in display,,,NO,NO,NO,NO,MISSING,MISSING
6bed336e-d288-4fbb-bfb7-fe7dd24a26a9,1954,D,Jefferson Nickel,jefferson-nickel,Thomas Jefferson / Monticello,Nickel,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
6fe8708a-2275-4136-ad98-ac80920b9af0,,,Morgan Dollar,morgan-dollar,,$1,Uncirculated W/Original Gov't Box & COA,,,NO,NO,NO,NO,MISSING,MISSING
73e462da-0a3a-495f-92ae-6244e7cc6d21,1929,D,Lincoln Cent (Wheat Reverse),lincoln-cent,Abraham Lincoln / Wheat Ears,Penny,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
76032535-bf5d-4485-bdfd-bcdd91aa79f2,,,Morgan Dollar,morgan-dollar,,$1,"1879CC Morgan silver dollar AU in display ""One of the rarest dates"" and 1892 Morgan silver dollar BU in display",,,NO,NO,NO,NO,MISSING,MISSING
761dd027-4631-4652-aefb-65830098dd9e,1891,,Morgan Dollar,morgan-dollar,,Morgan Silver Dollar,PF62,,,NO,NO,NO,NO,MISSING,MISSING
77fc06f1-8016-4037-a7bb-ae857e948197,,,Morgan Silver Dollar,morgan-dollar,,$1,PF62,,,NO,NO,NO,NO,MISSING,MISSING
7a103fbb-8401-491d-bf77-e7f1b1545d3e,2019,,American Eagle,dollar,,$1,Gem BU,,,NO,NO,NO,NO,MISSING,MISSING
7ef9b677-bb58-41f3-b4b8-f96c35efcf6d,1891,,Morgan Silver Dollar,morgan-dollar,Lady Liberty / Heraldic Eagle,Morgan Silver Dollar,PF62,,,NO,NO,NO,NO,MISSING,MISSING
8a9c51d9-4277-465e-acf3-a68ac1cd6958,,,Morgan Silver Dollar,morgan-dollar,,$1,Gem BU,,,NO,NO,NO,NO,MISSING,MISSING
8ad92767-7fea-476a-9bf1-f74e66224937,1900,O & CC,Morgan Silver Dollar,morgan-dollar,,$1,in display,,,NO,NO,NO,NO,MISSING,MISSING
9464620c-e3a8-43bb-af5a-c251badae3da,1990,,American Silver Eagle,american-eagle-silver,Walking Liberty / Heraldic Eagle,American Silver Eagle,MS70,,,NO,NO,NO,NO,MISSING,MISSING
9938c687-e2b2-495d-a853-8d37b39817bc,,,Morgan Silver Dollar,morgan-dollar,,$1,Uncirculated W/Original Gov't Box & COA,,,NO,NO,NO,NO,MISSING,MISSING
9a1a1049-7eed-42f7-be19-23744d8215ae,1942,P,Wartime Nickel,nickel,Thomas Jefferson / Monticello,Nickel,Average Circulated,,,NO,NO,NO,YES,MISSING,ref_index
9a4dae0f-29ae-46d5-9d10-e6d9cb5cea0a,1947,,Jefferson Nickel,jefferson-nickel,Thomas Jefferson / Monticello,Nickel,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
9ed513df-c4c3-4bdf-a84e-a80def5ddae5,1883,O,Morgan Silver Dollar / GSA Hoard,morgan-dollar,Lady Liberty / Heraldic Eagle,Morgan Silver Dollar,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
TU630qr4ngF9kUIZK6W6,1943,D,,unknown,,penny,Ungraded,,,NO,NO,NO,NO,MISSING,MISSING
YtITiut3ZNVTeWbZFFmk,2011,W,2011-(W) $1 Silver Eagle Struck at West Point,dollar,,$1,MS69,,,NO,NO,NO,YES,MISSING,ref_index
afa1996f-6259-4262-9104-78eaacf47b96,1963,,Jefferson Nickel,jefferson-nickel,,Nickel,Gem Proof,,,NO,NO,NO,NO,MISSING,MISSING
b35be335-6e90-4bcc-9e2a-b10681879596,1891,O,Morgan Silver Dollar,morgan-dollar,,$1,Gem BU,,,NO,NO,NO,NO,MISSING,MISSING
