doc_key,year,mint,program,subject,side,public_url,attribution,source_tier,source_label
1791_S_kennedy-half-dollar_obverse,1791,S,kennedy-half-dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Half_dollar__United_States_/Commemorative_half_dollars_of_the_United_States/Panama_Pacific_Exposition_half_dollar/1915_P50C_No_S_Panama-Pacific_Half_Dollar__28Judd-1791-1961_2C_Pollock-2029_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1792_cent_obverse,1792,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1792-1C-Pattern_Silver_Center_Cent__28J-2_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1792_coins__nnc__obverse,1792,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1792-10C-Pattern_Disme_Copper__28J-10_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1792_dollar_obverse,1792,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1792-25C-Pattern_Quarter_Dollar__28J-12_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1793_cent_obverse,1793,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1793-_C2_BDC-Liberty_Cap_Half_Cent__28left_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1793_flowing-hair_obverse,1793,,flowing-hair,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1793-1C-Flowing_Hair_Cent__28wreath_29__28obverse_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1793_flowing-hair_reverse,1793,,flowing-hair,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1793-1C-Flowing_Hair_Cent__28wreath_29__28reverse_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1794_cent_obverse,1794,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1794-_C2_BDC-Liberty_Cap_Half_Cent__28right_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1795_aj_collection_obverse,1795,,aj_collection,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/aj_collection/NNC-US-1795-G$10-Turban_Head_small_eagle.jpg,,2,Numista Reference Library
1795_american-eagle-gold_obverse,1795,,american-eagle-gold,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/gold_eagles/gold-eagle-obverse-1795.jpg,,2,Numista Reference Library
1795_american-eagle-gold_reverse,1795,,american-eagle-gold,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/gold_eagles/gold-eagle-reverse-1795.jpg,,2,Numista Reference Library
1795_coins__nnc__obverse,1795,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1795-G_245-Turban_Head__28small_eagle_29__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
