doc_id,cat,denom,year,desc,missing
00b1cf06-18fb-4f28-b373-bed074a35341,Federal Reserve Note,$5,$5 Federal Reserve Split Quad Note,$5 Federal Reserve Split Quad Note,REV
02f1f861-2578-42c9-bddf-afb58d9570c8,Silver Certificate,$10,1934A,$10 Silver Certificate - No Yellow Seal,REV
0342508c-19ff-4eb4-ab71-202498839396,Legal Tender Note,$5,1907,$5 Legal Tender Note Spelling Error Reverse P*C*BLIC EPQ,OBV+REV
0449a33d-a22e-4018-8a79-5ad1b8a7e128,Unknown,$5,1880,$5 Legal TenderNote large size PMG,REV
05b2ca0f-3b28-4ad8-bb74-76bcc3473b0e,Legal Tender Note,$5,1928F,$5 Legal Tender Note,OBV+REV
0690d75a-931a-4c03-a8ea-b2c70f20e2c2,Legal Tender Note,$2,1953,$2 legal tender note,REV
076219f6-5198-4628-864d-dc17b932b719,Silver Certificate,$1,1923,$1 Silver Certificate large size 2 consecutive Serial #s (FR237) PCGS,REV
07923724-faa8-42de-b013-9a1c04c810ea,Fractional Currency,25,1862-76,25C Fractional Currency,REV
07969ed5-f14e-4e9d-9656-93458cda6302,Obsolete Currency,,,19th Century Obsolete Currency,OBV+REV
0a256c7c-a7ea-4e02-9adb-67d10f09ceb0,Silver Certificate,$2,1899,$2 Silver Certificate Large Size,OBV+REV
0e6e757c-8579-435f-ba6f-1f1e6c05412b,Federal Reserve Bank Note,$20,1929,$20 Federal Reserve Bank Note,REV
0e9eeec8-dfc5-418c-afc3-597898ff7652,Unknown,$2,1861,$2 New Orleans Jackson and Great Northern RR Co W-LA 380-002-G050,OBV+REV
0ec4d582-1264-4da1-bfac-d712efe056fe,Legal Tender Note,$2,1953B,$2 Legal Tender Star Note,REV
0f2da1a0-1152-45bc-9eba-cae06f0f4a88,Unknown,$1000,,$1000 3rd Bank of the United States PMG New York Tear Repair Previously Mounted,REV
0fa622a0-ba81-492d-bbcc-b070bc9ac79e,Silver Certificate,$1,1923,$1 silver certificate Large size 2 consecutive serial # (FR237)  PCGS,REV
11eea9ed-470f-48ce-ae61-6b12bb57a24d,Legal Tender Note,$1,1917,$1 Legal Tender Note Large Size,REV
12df0fc6-5194-4c7b-8b62-4bea1efb25c4,Silver Certificate,$1,1899-1918,$1 large size note starter set,REV
145dccaf-5fcc-426b-82bc-2cf02b6cad7c,Legal Tender Note,$2,1928G,$2 Legal Tender Note,REV
16012432-73c3-4fa6-957b-2e45adade209,Federal Reserve Note,$100,1934,$100 Federal Reserve Note,REV
18f617df-fd26-4eac-a5e6-02c38c3550c8,Federal Reserve Note,$10,1999,$10 Federal Reserve Star Note,OBV+REV
196efc9f-8f8f-43c4-8c01-5275f7e46756,Silver Certificate,$10,1934,$10 Silver Certificate,REV
1a430eea-6a15-4e9a-9515-b67e7860c328,Federal Reserve Bank Note,$20,1929,$20 Federal Reserve Bank Note,REV
1b14218e-4bd4-40b6-bdc0-fd676f7cb136,Federal Reserve Note,$10,1914,$10 Federal Reserve Note,REV
1bff68c9-9147-4254-84e1-7e2dd743a18a,Unknown,$5,1847-1850's,$5 Falls Village Connecticut Iron Bank (CT120G8),OBV+REV
1fd6da68-d96f-4183-95b7-dfe5ea094e09,Legal Tender Note,$2,1928E,$2 Legal Tender Note,REV
20999425-4077-4887-9ff0-e819dceb3086,National Bank Note,$10,1902,$10 National bank note large size plainback,OBV+REV
21131bc4-b62d-4243-8fdb-e3155aeefbb7,Legal Tender Note,$5,1928B,$5 egal Tender Note,REV
225340ee-e21d-433e-8b0c-0ac83414bbe9,National Bank Note,,1929,National Bank Note Type 1 Beatrice NE charter #2357,OBV+REV
25b98a47-09f2-4bc8-a75c-42e85a1345a2,Fractional Currency,10,1869-75,10C Fractional currency,OBV+REV
262f5088-541a-4192-bf5c-05338eb37873,Federal Reserve Note,$20,1934,$20 Federal Reserve Note Hawaii,OBV+REV
26c67b3a-23c9-4148-b3a1-e1841e83ca5a,Federal Reserve Note,$10,1914,$10 Federal Reserve Note arge size,REV
2703275c-04a1-402f-95b6-fefa991973a4,Legal Tender Note,$1,1923,$1 Legal Tender Note Large Size,REV
28a51acd-4908-4f61-aab6-4ed308a65d17,Federal Reserve Note,$5,2013,$5 Federal Reserve Star Note,OBV+REV
299ef9a9-97e9-4721-9f57-1582a48fb36b,Gold Certificate,$20,1906,$20 Gold Certificate Latge size,REV
29b89ec5-170a-4a04-b038-03b555639b2d,Silver Certificate,$10,1934,$10 Silver Certificate,REV
2a8bb3b5-9ec5-48b1-bc24-35c506b4cbc1,Legal Tender Note,$2,1963A,$2 Legal Tender Star Note,REV
2ba8c63d-566a-424f-8616-15af3dc51390,Unknown,$40,1778,$40 continental currency,OBV+REV
2cfcc7b7-7afb-4618-b45c-612bcf7c4024,Fractional Currency,15,1869-75,15C Fractional Currency,REV
2e44c61a-c88f-4f92-9455-bf39d18e7af4,Legal Tender Note,$2,1953,$2 Legal Tender Star Note,REV
2ff4b0dc-2b94-4ff1-a6c5-a88b3a8155b2,Legal Tender Note,$10,1901,$10 legal tender Note Bison,REV
30e04d0e-972c-4d2e-815b-ae4fcd6b24f2,Bank Note,$1,,$1 Farmers Bank of Bucks County Bank Note Hulmeville PA (181-Teen's),OBV+REV
329298f6-ecd7-46d7-9bae-026b3b559451,Fractional Currency,50,1869-75,50C Fractional Currency PMG EPQ CHUNC 63,REV
38295d75-d028-40fb-b736-d8a947189328,Legal Tender Note,$5,1928,$5 Legal Tender Note,REV
382cf23c-b60d-4bff-8b1e-f0f96b1b1c60,Federal Reserve Note,$10,1934A,$10 Federal Reserve Note,REV
38f79268-6312-4e7b-9080-7f146190c0fc,Confederate,$2,1862,$2 Confederate Note,REV
396a98c6-24d0-4208-b348-c13498690c49,Silver Certificate,,1886,ilver Certificate Large Size,REV
39deb9dc-fc84-48bb-bf80-bc338472ab25,Legal Tender Note,$5,1907,$5 Legal Tender Note Large Size,OBV+REV
39e15347-e2eb-4af6-a621-fa3650e9dbe4,Unknown,$5,1850's-1960's,"$5, $10, and $20  Farmer's Bank of Kentucky three note set",OBV+REV
3a267b43-b7f1-4f5e-a9b0-6845fb611870,Silver Certificate,$1,1928$1,$1 Silver Certificate Funnyback,REV
3b8f8399-1d73-42f7-882e-d540b977ac0f,Confederate,$20,1864,$20 Confedwrate Note,REV
3bcee5ba-02a3-4636-98c0-483765d25b48,Silver Certificate,$10,1934,$10 silver certificate,REV
3c649910-6e54-4d7b-9e71-b2919979a92d,Silver Certificate,$10,1934B,$10 Silver Certificate,REV
3cb72c6a-9ca1-40a6-aab3-9fbbe4cfdf1a,Federal Reserve Note,$10,1934,$10 Federal Reserve Note,REV
3d3f7001-af69-47f2-b347-6c4137abda1b,Silver Certificate,,1934A,10 Silver Certificate Yellow Seal BA Block PMG EPQ65,REV
3f6c909c-2825-4cfc-9ed0-db18c7bdd83d,Federal Reserve Note,$2,2003A,$2 Federal Reserve Note,OBV+REV
3fc92f3a-55ce-4894-87de-a03ff6648030,Legal Tender Note,$2,1928C,$2 Legal Tender note,REV
411ec589-ae64-49e9-98d7-516fff2e64a2,Silver Certificate,$1,1923,$1 Silver Certificate large size PCGS  PPQ66 2 consecutive serial #s (FR237),REV
4132586e-7905-4f23-a102-b4c6a08d92c6,Federal Reserve Note,$20,1934,$20 Federal Reserve Note,OBV+REV
425945a6-d082-4c8f-aefc-d03c4fa95ad0,Legal Tender Note,$2,1928D,$2 Legal Tender Note,REV
42ae44e7-3673-49e4-a611-c5ffd2a173f6,National Bank Note,$5,1929,$5 National Bank Note T2,OBV+REV
42ee64e9-7340-4c66-854f-b727c3579570,Silver Certificate,$2,1896,$2 Silver Certificate Largensize Educational,REV
433f9c5d-223d-4ba4-b6b7-df2be99957f0,Error Note,$5,1907,"$5 Ledal Tender Note ""PCBLIC"" Engraving error Reverse",OBV+REV
44c4dbbf-eddd-4f94-a78c-b86b61577d73,Federal Reserve Note,$5,2003,$5 Federal Reserve Note,OBV+REV
472fe365-3508-437a-8b4f-e86e10dea664,Gold Certificate,$50,1862,$50 gold certificate large size,REV
4920074b-5bb5-4e9a-b2f8-26927c564083,National Bank Note,$5,1902,$5 National bank notr,OBV+REV
498b1b5f-45e3-42c5-be38-4cbc3efea64d,Federal Reserve Note,$10,1950C,$10 Federal Reserve Note,OBV+REV
4aac02fd-b73a-4048-891c-1e4eec816c54,Federal Reserve Note,$20,1934A,$20 Federal Reserve Note,REV
4d74ac8d-d73c-4ba7-a787-63d80a3531c4,National Bank Note,$20,1929,$20 National Bank Note T1,OBV+REV
4db3fb0a-6b24-42b4-8d9a-da61e1edad16,Legal Tender Note,$1,1917,$1 Legal Tender Note large size PCGS,REV
51617d29-1663-49cb-ac07-d37d01fc8dab,Unknown,,1776,2 Continental Currency,OBV+REV
5244942c-f0e4-4bed-a0ab-d8de37c55bcd,Fractional Currency,10,1874-76,10C Fractional Currency,REV
52b37bdf-b876-47ef-904a-db30ee5eff6e,National Bank Note,$5,1902,$5 National Bank Note Large size Bronkville PA charter #3051,OBV+REV
542578a1-c29a-41bd-bec4-425eac6d5e1d,Legal Tender Note,$5,1953,$5 Legal Tender Note,OBV+REV
5594e24b-556f-4eb9-a37e-ad8f80c1bfe7,Fractional Currency,10,1875-76,10C Fractional currency,REV
57de6f90-cbe5-4471-b2c4-03fd8ed805ea,Legal Tender Note,$1,1928,$1 Legal Tender Note Funny Back,REV
587ea6ab-87fe-443f-b219-f3bd8ef0f690,Silver Certificate,$1,1923,$1 Silver Certificate Large size PCGS PPQ63 2 consecutive #s (FR238),REV
591341bb-4e48-432f-8df1-2850b7d321ef,Legal Tender Note,$1,1917,$1 Legal Tender Note Large Size,REV
5c213b63-dceb-4ed7-95b0-7d34c7a88b8b,Federal Reserve Bank Note,$5,1929,$5 Federal Reserve Bank Note,REV
5c7a805d-ca39-4cd1-95d9-110fbe46c100,Bank Note,$10,1929,$10 Fereral Reserve Bank Note,OBV+REV
5c8d9883-6aa3-4cf2-aea7-9630adfe1260,National Bank Note,$5,1902,$5 National Bank Note Large size third issue (Plain back),OBV+REV
5d491a05-d21c-496a-aeca-84916f2c72db,Legal Tender Note,$2,1963,$2 legal tender note,REV
5d4f37e3-026b-4af1-8c0d-e841fd64c08b,Unknown,$1,19th Century,"Union County Bank of Plainfield NJ (2) $1, $2, $3 uncut sgeet of 4",OBV+REV
5e2abea1-9fbc-4e1c-8f86-9ade1bcb1829,Federal Reserve Note,$5,1914,$5 Federal Reserve Note,REV
5ebc8a7c-f4bc-4abc-9f45-470538d9e377,Federal Reserve Note,$5,,$5 Federal Reserve Binary Repeated Note,REV
6004dcd6-634e-4cc0-ba5e-41542ae84226,Federal Reserve Bank Note,$20,1929,$20 Federal Reserve Bank Note,REV
6009ee2d-d8dd-4c20-98ac-b0b2c53f4788,National Bank Note,$5,1929,$5 National Bank Note Type 1 Honolulu HI Charter #5550,OBV+REV
6237c14b-50d7-42ad-bd87-13a521ebbc4b,Federal Reserve Note,$5,2001,$5 Federal Reserve Star Note,OBV+REV
639f2928-9b75-4237-a310-bcbe5d92dc94,Legal Tender Note,$2,1917,$2 Legal Tender Note Large Size,REV
64182a73-681a-4d78-ab37-1af82e70e44b,Unknown,$5,1850's-1860's,$5 Falls Village Connecticut Iton Bank (CT120G10C),OBV+REV
65819e0b-14ce-4941-aaeb-726ab07aaea8,Silver Certificate,$5,1934A,$5 Silver Certificate,REV
676c6a20-014d-484b-90d1-a63db856ce33,Fractional Currency,10,1862-76,10C Fractional Currency,REV
68b0d5e1-d993-4aca-bf79-61b7f3d0989b,Fractional Currency,10,1863-97,10C Fractional Currency,REV
6d74462d-36de-45fb-bb15-cfac379602ec,Unknown,$5,"1880""s",$5 State of Louisiana Single Bond with red serial number,OBV+REV
6f21b915-7899-404f-8ff4-4456f0ecc032,Legal Tender Note,$5,1953A,$5 Legal Tender Star Note,OBV+REV
6f8e56f2-d103-4626-801b-39ca6a12623c,Legal Tender Note,$5,1963,$5 Legal Tender Star Note,OBV+REV
70481d94-aa04-4dec-b9eb-3c9936258eab,National Bank Note,$5,1902,$5 National Bank Note Large size Atlanta GA Charter #5045,OBV+REV
714ac8a9-a2f5-4504-b67f-15f480e2815b,Silver Certificate,$10,1934C,$10 Silver Certificate,REV
727a1c07-4b0f-46c0-81e7-9123bf8a44ff,Fractional Currency,5,1862-1869,5c Gractional currency,REV
72b536b4-f6da-4ce5-bb67-d83ab14d0578,Unknown,$1,19th century,State Bank of New Brunswick $1 Uncut sheet of 4,OBV+REV
75313ed3-3b32-4fe1-b8b7-ab79a2b9c251,Legal Tender Note,$5,1963,$5 legal tender note,OBV+REV
761917c7-3508-49b8-ab5b-aa552204f1a6,Fractional Currency,25,1862-63,25C Fractional Currency,REV
793b8f3e-115e-4f9b-a70f-7c0a311c2e2e,Unknown,$5,1953B,$5Legal Tender Note,OBV+REV
7bf39641-6a05-4ab3-b713-6d23bf5e3bb1,Silver Certificate,$10,1934,$10 silver certificate,REV
7c7c4065-c113-4aeb-8c6b-a0321e6fbd5d,Obsolete Currency,,1900 Century,Obsolete Currency,OBV+REV
7d4afa4b-1995-438e-94f8-1ca6074194e2,Legal Tender Note,$2,1928F,$2 Legal Tender Note,REV
80ca03d0-b340-4c16-bc7f-b877a9004c98,National Bank Note,,1929,"#10 National Bank Note Type 1 Zanesville, Ohio charter #5760",OBV+REV
