Country,Year,Mint Mark,Denomination,Quantity,Program/Series,Theme/Subject,Condition,Surface & Strike Quality,Grading Service,Grading Cert #,Cost,Purchase Date,Retailer/Website,Retailer Invoice #,Retailer Item No.,Metal Content,Melt Value,Personal Notes,Personal Ref #,AI Estimated Value,Storage Location,id,deep_dive_status,Numismatic Report,potentialVariety,imageUrlObverse,imageUrlReverse,inventoryStatus,category,file_ref,source_file
US,1954,S,Half Dollar,1,Franklin Half Dollar,Benjamin Franklin,Gem Uncirculated 65,Full Bell Lines,PCGS,,$225.00,2026-01-31,,,,90% Silver,Pending,,7,Pending,,0002c0f9-9ea5-42d7-8697-a31353ffcb6d,PENDING,,,,,UNCHECKED,,,
US,2010,D,Penny,1,Lincoln Cent,"Abraham Lincoln, Union Shield",MS,Uncirculated,,,$0.25,2026-01-31,,,,Copper-plated Zinc,Pending,,303,Pending,,001e17fe-b783-417a-9897-f1593dc32a35,PENDING,,,,,UNCHECKED,,,
US,1903,,Half Dollar,1,Barber,Liberty Head,,,,,$42.50,2026-01-31,,,,90% Silver,Pending,Genuine (no grade specified),8,Pending,,003b311d-ec8b-45b2-bbb8-08815a6aea56,PENDING,,,,,UNCHECKED,,,
US,1873,,1 Dollar,1,Trade Dollar,Trade Silver Dollar,Extra Fine,,PCGS,,$495.00,2026-01-31,,,,Silver,Pending,,,Pending,,00782b45-c57a-4a62-be7f-c3165034b325,PENDING,,,,,UNCHECKED,,,
US,2024,P,Kennedy Half Dollar,1,Kennedy Half Dollar,,Uncirculated,,,,$0.00,05/08/25,Littleton Coin Company,67576317,8810.60,Cupro-Nickel clad,Pending,,,Pending,,00834217-976a-435d-ab0f-5f72cd299cb1,PENDING,,,,,UNCHECKED,US Coin,,invoices/queue/91fc6371-836d-45a9-86fd-454225b0a612_Scan_20260129 (50).pdf
US,1867,S,Half Dollar,1,Liberty Seated,,Good/Very Good,,,,$77.50,2026-01-31,,,,Silver,Pending,,65,Pending,,008da8c2-349a-4327-a64d-60696e583824,PENDING,,,,,UNCHECKED,,,
US,2023,P,Native American Dollar,1,Native American Dollar Program,Maria Tallchief,Uncirculated,,,,$0.00,2025-05-08,Littleton Coin Company,67576317,8714.60,,Pending,,,Pending,,00b0f765-479a-4c36-ae37-4a1cf94d15ae,PENDING,,,,,UNCHECKED,US Coin,,invoices/queue/91fc6371-836d-45a9-86fd-454225b0a612_Scan_20260129 (50).pdf
,1978D,,Dime,,Roosevelt Dimes,,uncirculated,,,,points,2023-07-19,,,,,,,177,Pending,,00b202e4-aad0-42d2-a571-6440a4fccc96,PENDING,,,,,UNCHECKED,,gs://studio-9101802118-8c9a8-uploads/spreadsheets/f6988561-70da-46fb-b105-2a2e56f2a91d_1769960541_Roosevelt Dimes.xlsx,
US,1925,,Penny,1,Lincoln Head Cent,Lincoln Head,Genuine,,,,$0.00,2026-01-31,,,,"95% Copper, 5% Tin and Zinc",Pending,Acquired for points.,107,Pending,,00bcdde6-9da3-4dd6-9be2-e5e76eb6d6d2,PENDING,,,,,UNCHECKED,,,
US,1939,,Penny,1,Lincoln Cent,Abraham Lincoln,Genuine,Unspecified grade (B),,,$0.00,2017-05-16,Grab Bag,,,"95% Copper, 5% Zinc",Pending,Part of a 50-coin grab bag purchase.,1-31,Pending,,00c9997d-0fbd-4f67-a4a5-5cb6ad941be3,PENDING,,,,,UNCHECKED,,,
,1958,,Quarter,,Washington Silver Quarter,,average circ,,,,22.50,2026-02-01,,,,,,,,Pending,,00f122aa-468d-4e58-8770-b566d27d33d5,PENDING,,,,,UNCHECKED,,gs://studio-9101802118-8c9a8-uploads/spreadsheets/bc8d9c55-e80f-45c9-ba55-531446174c05_1769960673_Washington Silver Quarter.xlsx,
US,1980,D,Penny,1,Lincoln Memorial Cent,Lincoln Head,Uncirculated,,,,$0.45,2026-01-31,,,,"2.5% Copper, 97.5% Zinc",Pending,,140,Pending,,011f4f37-26ee-43bd-8419-008fbcbd623a,PENDING,,,,,UNCHECKED,,,
