Year,Denomination,Program/Series,Mint Mark,Count_Missing,Count_Has_Image
2024,Washington Quarter,American Women Quarters,S,15,0
2023,Washington Quarter,American Women Quarters,S,15,0
2016S,quarter,National Park Quarters,,12,0
2020P,quarter,National Park Quarters,,10,0
2019P,quarter,National Park Quarters,,10,0
2018P,quarter,National Park Quarters,,8,0
2020D,quarter,National Park Quarters,,5,0
2018D,quarter,National Park Quarters,,5,0
2019D,quarter,National Park Quarters,,4,0
2016D,quarter,National Park Quarters,,4,0
2015S,quarter,National Park Quarters,,4,0
2016P,quarter,National Park Quarters,,4,0
2019S,quarter,National Park Quarters,,4,0
Unknown,Nickel,Buffalo Nickel,,4,0
2024,Washington Quarter,American Women Quarters,D,3,3
2024,Washington Quarter,American Women Quarters,P,3,3
1989S,Unknown,Clad  Proof Set 5 coins,,2,0
1909,Penny,Lincoln Cent,,2,3
2013S,Unknown,Clad Proof Set 14 coins,,2,0
2018S,quarter,National Park Quarters,,2,0
Unknown,Unknown,"103-76BC Alexander Jannaeus Bronze Widow's Mite H469-70,72",,1,0
1900,Penny,Indian Head Cent,,1,2
1968-98,Unknown,31 different US proof sets,,1,0
2006S,Unknown,Clad Proof Set 14 Coins,,1,0
1908,Penny,Indian Head Cent,,1,2
1976S,Unknown,Clad  Proof Set 6 coins,,1,0
1936-38,Nickel,Last seven Buffalo Nickels,,1,0
1983S,Unknown,Clad  Proof Set 6 coins,,1,0
Unknown,multiple,25 Mixed Peace Dollars AU/BU,,1,0
2014S,Unknown,Clad  Proof Set 14 coins,,1,0
2017P,quarter,National Park Quarters,,1,0
2021,Dollar,2021 W ASE T-1 FDOI PF70 ULTRA CAMEO signed by John Mercanti,W,1,0
2020S,Unknown,AI$ Proof Set,,1,0
1966,Unknown,Special Mint Set Hard Holder,,1,0
1943,Cent,Lincoln Steel Cent,D,1,1
1941,Penny,Lincoln Cent,S,1,2
Unknown,Nickel,Buffalo Nickel 3 coin All Mint set,,1,0
2018S,Unknown,Clad  Proof Set 10 coins,,1,0
2006S,Unknown,Silver Proof set 10 coins,,1,0
2000S,Unknown,Clad Proof Set 10 Coins,,1,0
1943,Cent,Lincoln Steel Cent,S,1,1
19th & 20th century,Penny,Indian Head Cent 2 coin set with case,,1,0
1971-78,Dollar,Eisenhower Dollar set 16 coins with lbum,,1,0
