doc_id,raw_denom,raw_program,source_document_name,invoice_number,original_description,assigned_category,reason,dry_run
00154802-4a9a-4a22-82bd-a01345ebde10,$1,The Statehood Innovation Dollar Coin Collection,Receipt_2026-06-03_100133.pdf,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 28 FLORIDA,(no change),already tagged,False
0023de4a-fee1-4923-8ef7-bf3e70ad2e63,Five Cents,USA Invoice Import,Receipt_2026-06-03_092205.pdf,67000001,1948 Jefferson Nickel Average Circ,(no change),,False
005799c4-dd49-4c73-9535-3face1153fd6,Quarter Dollar,American Women Quarters,Receipt_2026-06-03_091429.pdf,66520055,WASHINGTON QUARTER CLUB SELECTION 2023-P Jovita Idar Quarter Taxable Item,(no change),,False
00a7aafd-c601-4be7-8f37-8388802c3e6e,Quarter Dollar,American Women Quarters,Receipt_2026-06-03_091429.pdf,66520055,2024-S Pauli Murray Quarter Taxable Item,(no change),,False
0129b845-1b55-4dae-8f28-b7579c73467b,Half Dollar,USA Invoice Import,Scan_20260129 (36).pdf,66327175,2024-S Kennedy Half Dollar Tax Free Item,(no change),,False
0137c277-1ae2-4e4b-a127-f338e39bc1e3,Half Dollar,USA Invoice Import,Scan_20260129 (36).pdf,66327175,2022-S Kennedy 50C 99.9% Silver Tax Free Item,(no change),,False
0162d870-8dfa-4b23-8822-09b0542bd6a6,Dollar,Statehood Innovation Dollar Coin Collection,Scan_20260129 (114).pdf,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 25 MISSOURI,(no change),,False
017c1baf-10b1-40bb-9bb5-3837d60d0acc,Five Cents,The U.S. Nickel Collection,Scan_20260129 (109)_Part2.pdf,405213042,1973 JEFFERSON NICKEL,(no change),,False
0197b4f7-8795-4365-a0bd-98e5c60c4025,Half Dollar,Half Dollar Club Selection,Scan_20260129 (6).pdf,67874238,THE HALF DOLLAR CLUB SELECTION 1866 Liberty Seated Silver Half Dollar Motto PCGS VF35 Taxable Item Very Fine 35,(no change),,False
01ce05c2-c3a3-4dd8-ae04-e9a1681a1fbc,Dime,USA Invoice Import,Receipt_2026-06-03_094010.pdf,66151496,2003-P Roosevelt Dime Tax Free Item,(no change),,False
