Coin_ID,Year,Mint_Mark,Denomination,Program_or_Series,Prior_Mismatches,Obverse_Image_URL,Reverse_Image_URL
319e621e-2c4b-4f0f-90d6-598b0d5fd305,1946,,Penny,Lincoln Cent,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/319e621e-2c4b-4f0f-90d6-598b0d5fd305/obverse.jpg?t=1782490150&nocache=1782490220701,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/319e621e-2c4b-4f0f-90d6-598b0d5fd305/reverse.jpg?t=1782490150&nocache=1782490220702
0bc5afc2-d694-4237-a083-493de808c086,1909,S,1 Cent,Lincoln Cent,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/0bc5afc2-d694-4237-a083-493de808c086/obverse.jpg?t=1782490151&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/0bc5afc2-d694-4237-a083-493de808c086/reverse.jpg?t=1782490151&nocache=1782490220702
78c1dccc-095e-4538-9893-2d4ad7dd5126,1964,,Nickel,,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/78c1dccc-095e-4538-9893-2d4ad7dd5126/obverse.jpg?t=1782490153&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/78c1dccc-095e-4538-9893-2d4ad7dd5126/reverse.jpg?t=1782490154&nocache=1782490220702
6ba9abfa-f3d2-4965-85f9-fc9d44612e8e,1976,S,Kennedy Half Dollar,Kennedy Half Dollar,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/6ba9abfa-f3d2-4965-85f9-fc9d44612e8e/obverse.jpg?t=1782490156&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/6ba9abfa-f3d2-4965-85f9-fc9d44612e8e/reverse.jpg?t=1782490157&nocache=1782490220702
62fb85f0-282a-49ac-9400-f41a83d34ca9,1921,,Penny,Lincoln Head Penny,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/62fb85f0-282a-49ac-9400-f41a83d34ca9/obverse.jpg?t=1782490157&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/62fb85f0-282a-49ac-9400-f41a83d34ca9/reverse.jpg?t=1782490157&nocache=1782490220702
3d8ab15e-b121-475e-85ea-6fff7588db75,1913,Pending,Dime,Barber Series,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/3d8ab15e-b121-475e-85ea-6fff7588db75/obverse.jpg?t=1782490158&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/3d8ab15e-b121-475e-85ea-6fff7588db75/reverse.jpg?t=1782490159&nocache=1782490220702
2d5bafac-d0ca-4ae8-a4df-07915b735dae,2003,S,Quarter,State and Territory Quarters,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/2d5bafac-d0ca-4ae8-a4df-07915b735dae/obverse.jpg?t=1782490160&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/2d5bafac-d0ca-4ae8-a4df-07915b735dae/reverse.jpg?t=1782429102&nocache=1782490220702
f8c4a5bb-8f33-4076-b47e-557549c03fa0,1910,,Penny,Lincoln Cent,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/f8c4a5bb-8f33-4076-b47e-557549c03fa0/obverse.jpg?t=1782490160&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/f8c4a5bb-8f33-4076-b47e-557549c03fa0/reverse.jpg?t=1782490161&nocache=1782490220702
273901b2-7bf4-44e2-a3db-4bf4aae4201b,1909,,Penny,Lincoln Cent,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/273901b2-7bf4-44e2-a3db-4bf4aae4201b/obverse.jpg?t=1782490161&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/273901b2-7bf4-44e2-a3db-4bf4aae4201b/reverse.jpg?t=1782490161&nocache=1782490220702
c0a5756c-b83f-4ce3-bdcc-d23bae1c2a6d,1899,,Cent,Indian Head Cent,"corrected mismatch/missing image. *While the year listed is different, the design is correct.",https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/c0a5756c-b83f-4ce3-bdcc-d23bae1c2a6d/obverse.jpg?t=1782490164&nocache=1782490220702,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/users/jseaman1204@gmail.com/coins/c0a5756c-b83f-4ce3-bdcc-d23bae1c2a6d/reverse.jpg?t=1782490166&nocache=1782490220702
