doc_id,dry_run,raw_denom,raw_program,raw_category,changes,updates_applied,source_document_name,source_type,import_session_id,invoice_number,original_description
00154802-4a9a-4a22-82bd-a01345ebde10,False,$1,The Statehood Innovation Dollar Coin Collection,paper_currency,no change,,Receipt_2026-06-03_100133.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 28 FLORIDA
0023de4a-fee1-4923-8ef7-bf3e70ad2e63,False,Five Cents,USA Invoice Import,,no change,,Receipt_2026-06-03_092205.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67000001,1948 Jefferson Nickel Average Circ
005799c4-dd49-4c73-9535-3face1153fd6,False,Quarter Dollar,American Women Quarters,,no change,,Receipt_2026-06-03_091429.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66520055,WASHINGTON QUARTER CLUB SELECTION 2023-P Jovita Idar Quarter Taxable Item
00a7aafd-c601-4be7-8f37-8388802c3e6e,False,Quarter Dollar,American Women Quarters,,no change,,Receipt_2026-06-03_091429.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66520055,2024-S Pauli Murray Quarter Taxable Item
0129b845-1b55-4dae-8f28-b7579c73467b,False,Half Dollar,USA Invoice Import,,no change,,Scan_20260129 (36).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66327175,2024-S Kennedy Half Dollar Tax Free Item
0137c277-1ae2-4e4b-a127-f338e39bc1e3,False,Half Dollar,USA Invoice Import,,no change,,Scan_20260129 (36).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66327175,2022-S Kennedy 50C 99.9% Silver Tax Free Item
0162d870-8dfa-4b23-8822-09b0542bd6a6,False,Dollar,Statehood Innovation Dollar Coin Collection,,no change,,Scan_20260129 (114).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 25 MISSOURI
017c1baf-10b1-40bb-9bb5-3837d60d0acc,False,Five Cents,The U.S. Nickel Collection,,no change,,Scan_20260129 (109)_Part2.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,405213042,1973 JEFFERSON NICKEL
0197b4f7-8795-4365-a0bd-98e5c60c4025,False,Half Dollar,Half Dollar Club Selection,,no change,,Scan_20260129 (6).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67874238,THE HALF DOLLAR CLUB SELECTION 1866 Liberty Seated Silver Half Dollar Motto PCGS VF35 Taxable Item Very Fine 35
01ce05c2-c3a3-4dd8-ae04-e9a1681a1fbc,False,Dime,USA Invoice Import,,no change,,Receipt_2026-06-03_094010.pdf,PDF Invoice,lcc-aj-retry-20260626-201949,66151496,2003-P Roosevelt Dime Tax Free Item
01de144f-2e8c-4c9d-a4f3-5a7b79019d58,False,,America Revisited Selection,,no change,,Scan_20260129 (44).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67671020,YEAR SETS: AMERICA REVISITED SELECTION 1946 5-Coin Time Capsule Year Set Taxable Item Circulated o
023eccfd-4304-44dc-a511-ed589e7d54ce,False,Dime,U.S. Dime Collection Selection,,no change,,Receipt_2026-06-03_094010.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67593420,"U.S. DIME COLLECTION SELECTION
1849 Liberty Seated Silver Dime
Stars
Taxable Item"
02a0180b-b70d-4845-b308-575e4903bd70,False,Cent,USA Invoice Import,,no change,,Receipt_2026-06-03_091509.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67054670,2023-S Lincoln Head Cent Ch Proof-63
02a1632e-df62-4e2f-a236-563c3f1d37a0,False,Dollar,USA Invoice Import,,no change,,Scan_20260128 (8).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65712953,1974-S Eisenhower Dollar Silver Clad Ch Proof-63
02ab6224-b15c-4535-87da-7c3bff4ba146,False,Nickel,THE U.S. NICKEL COLLECTION,,Denomination: 'Nickel' → 'Five Cents' | Program/Series casing: 'THE U.S. NICKEL COLLECTION' → 'The U.S. Nickel Collection',"{'Denomination': 'Five Cents', 'Program/Series': 'The U.S. Nickel Collection'}",Receipt_2026-06-03_095612_Part3.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,405213042,THE U.S. NICKEL COLLECTION SHIPMENT 6 FOUR COINS AT $7.95 EACH PLUS $.95 EACH SHIPPING AND SERVICE 1930 BUFFALO NICKEL 2002 JEFFERSON NICKEL 1947 JEFFERSON NICKEL 2005 JEFFERSON NICKEL - OCEAN IN VIEW
02df0aab-c7e2-4ba6-9cf4-2a2672f1bfc7,False,Nickel,The U.S. Nickel Collection,,Denomination: 'Nickel' → 'Five Cents',{'Denomination': 'Five Cents'},Receipt_2026-06-03_095612_Part4.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,405213042,"SHIPMENT 5
FOUR COINS AT $7.95 EACH PLUS $.95 EACH SHIPPING AND SERVICE
1934 BUFFALO NICKEL
2000 JEFFERSON NICKEL
1962 JEFFERSON NICKEL
1949 JEFFERSON NICKEL"
03033f6c-a3e0-4811-bb40-9d663b35fbee,False,Roosevelt Dime,USA Invoice Import,,Denomination: 'Roosevelt Dime' → 'Dime',{'Denomination': 'Dime'},Receipt_2026-06-03_094010.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66151496,"1958 Roosevelt Silver Dime
Tax Free Item"
03170f77-8d20-4e19-9fec-da42a09008cd,False,Jefferson Nickel,USA Invoice Import,,Denomination: 'Jefferson Nickel' → 'Five Cents',{'Denomination': 'Five Cents'},Receipt_2026-01-28_161342.pdf,PDF Invoice,lcc-aj-batch-20260626-180919,67000001,1954 Jefferson Nickel
034ce35d-3e05-4e5a-89e8-9d0518874f95,False,Commemorative Dollar,Modern Commemorative,,Denomination: 'Commemorative Dollar' → 'Dollar',{'Denomination': 'Dollar'},Receipt_2026-06-03_092551.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,2009939656,2002-W West Point Silver Commemorative Dollar MS63
0352e4b5-1c14-4553-97a7-b9b174c9d319,False,Jefferson Nickel,USA Invoice Import,,Denomination: 'Jefferson Nickel' → 'Five Cents',{'Denomination': 'Five Cents'},Receipt_2026-06-03_092205.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67000001,"1942-P Jefferson Wartime Nickel
Silver Alloy
Average Circ"
03cbd5ae-0fcd-4b6a-98bc-69e9d98cdeab,False,10 Cent Fractional Currency,Fractional Currency,,category: '' → 'paper_currency',{'category': 'paper_currency'},Scan_20260129 (7).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67750430,1863-1867 10C Frac w/surchrge 0-63 Taxable Item
040bf1d4-7b35-4869-854c-4ff3e18b97da,False,Washington Quarter,American Women Quarters,,Denomination: 'Washington Quarter' → 'Quarter Dollar',{'Denomination': 'Quarter Dollar'},Receipt_2026-06-03_094507.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67556776,2025-S Juliette Gordon Low Quarter Silver Bullion Taxable Item
044837d5-6886-4fad-b9bd-bb629396fcd2,False,American Silver Eagle,The Complete Original-Design Proof Silver Eagle Dollar Collection,,Denomination: 'American Silver Eagle' → 'Dollar',{'Denomination': 'Dollar'},Scan_20260129 (105).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,401581731,2012 PROOF AMERICAN EAGLE SILVER DOLLAR
04573286-7e1c-4349-9f84-81ea3e54f7fc,False,Eisenhower Dollar,USA Invoice Import,,Denomination: 'Eisenhower Dollar' → 'Dollar',{'Denomination': 'Dollar'},2026-06-03_091725.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65804568,"1976-D Type 1 & Type 2 Eisenhower Dollar Set, 2 Coins Items below are included in BB43 1 - 1404.60 1976-D Variety 1 Eisenhower Copper Nickel Clad 1 - 1405.60 1976-D Variety 2 Eisenhower Copper Nickel Clad Uncirculated"
04ae72f5-9c10-401e-8c6f-4ec1a59e4767,False,Walking Liberty Half Dollar,USA Invoice Import,,Denomination: 'Walking Liberty Half Dollar' → 'Half Dollar',{'Denomination': 'Half Dollar'},2026-06-03_091555.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67576317,1941 Liberty Walking Silver Half Dollar Very Good
05039f1e-1312-490d-9512-d93dc47226f5,False,Jefferson Nickel,The U.S. Nickel Collection,,Denomination: 'Jefferson Nickel' → 'Five Cents',{'Denomination': 'Five Cents'},Scan_20260129 (121)_Part4.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,405213042,THE U.S. NICKEL COLLECTION SHIPMENT 5 FOUR COINS AT $7.95 EACH - 1949 JEFFERSON NICKEL
052a7602-e922-47da-b16a-26ca51cfb72d,False,Washington Quarter,American Women Quarters,,Denomination: 'Washington Quarter' → 'Quarter Dollar',{'Denomination': 'Quarter Dollar'},Receipt_2026-06-03_091429.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66520055,2024-P Pauli Murray Quarter Taxable Item
05ae76f5-8bf4-430e-8a2c-8910a0ea676a,False,Roosevelt Dime,USA Invoice Import,,Denomination: 'Roosevelt Dime' → 'Dime',{'Denomination': 'Dime'},Scan_20260129 (28).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66466063,1949 Roosevelt Silver Dime Tax Free Item
063cf961-2f2a-41d9-bec5-9e978fa948ab,False,Innovation Dollar,U.S. Innovation Dollar,,Denomination: 'Innovation Dollar' → 'Dollar',{'Denomination': 'Dollar'},Scan_20260128 (18).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65741545,2023-P Ohio U.S. Innovation Dollar Underground Railroad Uncirculated
06bb7180-57b6-40cf-8790-a77f54bc180b,False,Capped Bust Half Dollar,Washington Quarter Club,,Denomination: 'Capped Bust Half Dollar' → 'Half Dollar',{'Denomination': 'Half Dollar'},Receipt_2026-06-03_094402.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65696398,WASHINGTON QUARTER CLUB SELECTION 1824 Capped Bust Silver Half Dollar Normal Date Ovt# 106A NGC Taxable Item
0714af32-e8b8-42ea-8f42-0e3b2e879411,False,Buffalo Nickel,USA Invoice Import,,Denomination: 'Buffalo Nickel' → 'Five Cents',{'Denomination': 'Five Cents'},Scan_20260128 (13).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65712953,1936 Buffalo Nickel Very Fine
079b3a10-e215-41c3-878f-d2262cb0d6f6,False,Washington Quarter,National Park Quarters,,Denomination: 'Washington Quarter' → 'Quarter Dollar',{'Denomination': 'Quarter Dollar'},Receipt_2026-06-03_092353.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,68291695,2019 PDS National Park Quarter Set 15 Coins
07b275f3-0dfd-493e-a709-778cd3d48fbb,False,Native American Dollar,Native American $1 Coin,,Denomination: 'Native American Dollar' → 'Dollar',{'Denomination': 'Dollar'},Receipt_2026-06-03_091916.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65712953,2022-D Native American Dollar Ely Samuel Parker Uncirculated
07bb014d-d278-4777-a7e7-4645543ed7db,False,Washington Quarter,American Women Quarters,,Denomination: 'Washington Quarter' → 'Quarter Dollar',{'Denomination': 'Quarter Dollar'},Receipt_2026-06-03_091429.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,66520055,2024-D Patsy Takemoto Mink Quarter Taxable Item
07e4a3cc-a9c6-49e5-96d8-e2f1a3a1b2fa,False,$1 Indian Territory Note,USA Invoice Import,,category: '' → 'paper_currency',{'category': 'paper_currency'},Receipt_2026-06-03_101701_Part3.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67892115,"$1 Indian Territory Note Haileyville, Oklahoma Crisp Unused Taxable Item"
086a3c97-0ecb-402b-887b-a873aa485009,False,Native American Dollar,Native American Dollar,,Denomination: 'Native American Dollar' → 'Dollar',{'Denomination': 'Dollar'},2026-06-03_091725.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,65741545,2023-P Native American Dollar - Maria Tallchief Uncirculated
08d191ac-4797-4653-9ba8-bc3cd6fd274d,False,Washington Quarter,American Women Quarters,,Denomination: 'Washington Quarter' → 'Quarter Dollar',{'Denomination': 'Quarter Dollar'},Scan_20260129 (50).pdf,PDF Invoice,lcc-aj-batch-20260626-181154,67576317,2024-P Patsy Takemoto Mink Quarter Uncirculated
09139582-5418-477e-8d68-2b8e8122ae8b,False,,U.S. UNCIRCULATED COIN MINT SETS,,Program/Series casing: 'U.S. UNCIRCULATED COIN MINT SETS' → 'U.S. Uncirculated Coin Mint Sets',{'Program/Series': 'U.S. Uncirculated Coin Mint Sets'},Scan_20260129 (122)_Part3.pdf,PDF Invoice,lcc-aj-batch-20260626-181154,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 82 2023 DENVER MINT PANEL
