type_id,category,denomination,year,series,need_obverse,need_reverse,doc_count,example_description,doc_ids
TYPE_001,Bank Note,$1,,,YES,YES,1,$1 Farmers Bank of Bucks County Bank Note Hulmeville PA (181-Teen's),30e04d0e-972c-4d2e-815b-ae4fcd6b24f2
TYPE_002,Bank Note,$10,1929,,YES,YES,1,$10 Fereral Reserve Bank Note,5c7a805d-ca39-4cd1-95d9-110fbe46c100
TYPE_003,Confederate,$2,1862,,NO,YES,1,$2 Confederate Note,38f79268-6312-4e7b-9080-7f146190c0fc
TYPE_004,Error Note,$5,1907,,YES,YES,1,"$5 Ledal Tender Note ""PCBLIC"" Engraving error Reverse",433f9c5d-223d-4ba4-b6b7-df2be99957f0
TYPE_005,Federal Reserve Bank Note,,1918,,NO,YES,1,Federal Reserve Bank Note Large size PMG,f2964c90-667d-4410-b6dc-4539403ddd01
TYPE_006,Federal Reserve Bank Note,$1,1918,,YES,YES,3,$1 Federal Reserve Bank Note Large Size,ab4c04f3-692c-4d86-8cf7-474b327aa7e7|ba8b6759-f931-46d6-acc8-f979d167b0e4|e1e2921b-55fe-480f-9206-d1d7190bc0c4
TYPE_007,Federal Reserve Bank Note,$10,1929,,YES,YES,1,$10 Federal Reserve Bank Note,b2298557-2a79-4cca-9c08-3216ce6bef88
TYPE_008,Federal Reserve Bank Note,$2,1918,,YES,YES,1,$2 Federal Reserve Bank Note Large size,72d31b0c-433a-497e-9823-068a848d91ba
TYPE_009,Federal Reserve Bank Note,$20,1929,,YES,YES,3,$20 Federal Reserve Bank Note,0e6e757c-8579-435f-ba6f-1f1e6c05412b|1a430eea-6a15-4e9a-9515-b67e7860c328|6004dcd6-634e-4cc0-ba5e-41542ae84226
TYPE_010,Federal Reserve Bank Note,$5,1929,,YES,YES,1,$5 Federal Reserve Bank Note,5c213b63-dceb-4ed7-95b0-7d34c7a88b8b
TYPE_011,Federal Reserve Note,,1934A,,NO,YES,1,Federal Reserve Note Hawaii LB Block PMG,5f4694e5-8396-4fa9-a5fe-88cad22bcf9c
TYPE_012,Federal Reserve Note,,1963A,,YES,YES,1,1$ Federal Reserve Star Note,53a95a8f-86ff-449f-912e-d0178b2ae9cc
TYPE_013,Federal Reserve Note,,1993,,YES,YES,1,1 Federal Reserve Note,507f4608-e353-44e7-92eb-af1de7b69d99
TYPE_014,Federal Reserve Note,$1,,,YES,YES,8,$1 Federal Reserve Liars Note Six in a Row,125ea498-a637-403f-9840-d7bbbd633025|5be37438-84eb-40db-8aca-8bf56f624dc0|723c3c09-d901-487e-ac28-e860ec08d1c8|76d98c8f-9d98-4a84-887a-278ee8381ab1|8b79528a-719b-4fe4-a526-8fe4225a5bc0|98681453-46f4-48ab-adcf-caef5796358e|c7a95f65-dc1e-4534-9cd1-78224845c407|ea5866db-e7cd-4a20-86f7-0a35f3760acb
TYPE_015,Federal Reserve Note,$1,1918,,NO,YES,1,$1 Federal Reserve Bamk Note large size PCGS 65PPQ,118419d7-93be-458e-b218-70ef48ec45dc
TYPE_016,Federal Reserve Note,$1,1939A,,YES,YES,1,$1 federal reserve star Note,f8410502-4f22-4ac6-a104-ce8c7d5ad0b4
TYPE_017,Federal Reserve Note,$1,1959D,,YES,YES,1,$1 Federal Reserve Note,6c58710e-52f8-415c-8d6e-5c46884aef32
