status,denomination,year,mint_mark,program,condition,grading_service,cert_number,image_url_obverse,image_url_reverse,doc_id
MISSING_BOTH,,,,"103-76BC Alexander Jannaeus Bronze Widow's Mite H469-70,72",fair good,,,,,03153afb-9f63-4c3c-b30b-0973c47e679f
MISSING_BOTH,,,,Mint Set,uncirculated,,,,,48109f69-6f91-4acb-9d8d-2b05dfe969e6
MISSING_BOTH,,,,100 coins from ioo countries with treasure chest,uncirculated,,,,,85b79947-de6f-4222-8dba-edb3c9fe7fd3
MISSING_BOTH,,,,George Washimgtom Coin Note and stamp set,,,,,,c88df2f6-830f-4246-8dea-db43d5c47c42
MISSING_BOTH,,,,50 bank notes from 50 countries with chart,average circ,,,,,cfb0ba60-51eb-43f5-8f11-9d0b9dacef5a
MISSING_REVERSE,,,,The Celebrating America Coin Collection,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference_images/us_mint/1994-women-in-military-service-for-america-commemorative-silver-one-dollar-proof-obverse.jpg,,10861b9b-ae1e-4200-86b0-876b2d1c37ef
MISSING_REVERSE,,,,,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/_historic_us_silver_coin_808025f1.png,,4d7dcedd-9637-44ff-b833-d42b40be151d
MISSING_REVERSE,,,,Celebrating America Coin Collection,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference_images/us_mint/1994-women-in-military-service-for-america-commemorative-silver-one-dollar-proof-obverse.jpg,,5c8412e8-1bc6-48ab-8d58-73438a51be06
MISSING_REVERSE,,,,,63,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/_historic_us_silver_coin_24.png,,925e6556-54c6-41fd-b303-d0aac5db7bb8
MISSING_REVERSE,,,,The Celebrating America Coin Collection,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference_images/us_mint/1994-women-in-military-service-for-america-commemorative-silver-one-dollar-proof-obverse.jpg,,a7f0264e-5327-4164-a1ad-1242ec1d129f
MISSING_REVERSE,,,,,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/_historic_us_silver_coin_17.png,,c5f7f111-2786-4ecd-9dd1-6afa958d7bbc
MISSING_REVERSE,,,,The Celebrating America Coin Collection Shipment 21,Ungraded,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference_images/us_mint/1994-women-in-military-service-for-america-commemorative-silver-one-dollar-proof-obverse.jpg,,fd3c9cde-26d5-4256-99ce-a03b27f20329
MISSING_REVERSE,,1865,,,Very Choice Uncirculated,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1865_barber_silver_coin_35.png,,ec2a2127-a7a3-4d4d-b322-9f206b0fe4cb
MISSING_REVERSE,,1866,,,VF/EF,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1866_barber_silver_coin_36.png,,1c8e7e49-e355-49b6-a922-a3d96b1ad113
MISSING_REVERSE,,1867,,,Extremely Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1867_barber_silver_coin_14.png,,4b8a2d7e-29d9-4616-853a-0cd69e8acec0
MISSING_REVERSE,,1868,,,Very Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1868_barber_silver_coin_32.png,,e092deda-7caa-4017-8b73-b99afb30fc5b
MISSING_REVERSE,,1869,,,Extremely Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1869_barber_silver_coin_33.png,,30a88fa5-4791-4d49-89bf-d40d45bc5a3e
MISSING_REVERSE,,1870,,,Extremely Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1870_barber_silver_coin_34.png,,2e822906-c26a-4dd3-8fda-d61d10989660
MISSING_REVERSE,,1870,,,Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1870_barber_silver_coin_27.png,,86f24f51-1fec-4171-8292-25028cc2f274
MISSING_REVERSE,,1871,,,Good,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1871_barber_silver_coin_21.png,,fd921ba5-a126-4394-87f3-942ab6df3cae
MISSING_REVERSE,,1872,,,Very Good,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1872_barber_silver_coin_3.png,,92b05314-f3e3-469d-b058-bbf4a8a5433b
MISSING_REVERSE,,1874,,,Extremely Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1874_barber_silver_coin_9.png,,576da6a9-dc09-4896-8bdf-ee66f690a3e5
MISSING_REVERSE,,1877,,,Good,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1877_barber_silver_coin_26.png,,8e1ee2d0-4c16-4763-9b8f-c728c2216855
MISSING_REVERSE,,1878,,,About Uncirculated,PCGS,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1878_barber_silver_coin_20.png,,9eb832ea-ac12-4742-9cc0-bb0fbb45fabe
MISSING_REVERSE,,1879,,,Very Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1879_barber_silver_coin_22.png,,e60c1194-7477-4037-8929-f5a778580f53
MISSING_BOTH,,1883,,Hawaiian Silver Quarter PCGS,very ch unc,,,,,4b608086-063a-4f7e-870b-14538d71d791
MISSING_REVERSE,,1884,,,Very Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1884_barber_silver_coin_29.png,,641893e0-fbc0-40d8-a290-024aa4ec2726
MISSING_REVERSE,,1885,,,Extremely Fine,,,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1885_barber_silver_coin_10.png,,3396a17b-ded9-4c84-ad61-1b6b0dd00d5f
