category,status,denomination,year,mint_mark,program,condition,grading_service,cert_number,image_url_obverse,image_url_reverse,doc_id
SET/COLLECTION RECORD,MISSING_BOTH,,,,"103-76BC Alexander Jannaeus Bronze Widow's Mite H469-70,72",fair good,,,,,03153afb-9f63-4c3c-b30b-0973c47e679f
SET/COLLECTION RECORD,MISSING_BOTH,,,,Mint Set,uncirculated,,,,,48109f69-6f91-4acb-9d8d-2b05dfe969e6
SET/COLLECTION RECORD,MISSING_BOTH,,,,100 coins from ioo countries with treasure chest,uncirculated,,,,,85b79947-de6f-4222-8dba-edb3c9fe7fd3
SET/COLLECTION RECORD,MISSING_BOTH,,,,George Washimgtom Coin Note and stamp set,,,,,,c88df2f6-830f-4246-8dea-db43d5c47c42
SET/COLLECTION RECORD,MISSING_BOTH,,,,50 bank notes from 50 countries with chart,average circ,,,,,cfb0ba60-51eb-43f5-8f11-9d0b9dacef5a
SET/COLLECTION RECORD,MISSING_BOTH,,1941-45,,World War II Coin collection,average circ,,,,,bd3ae2cc-9632-4b12-8f98-d27455af431e
SET/COLLECTION RECORD,MISSING_BOTH,,1964,,silver proof set 5 coins,ch prood 63,,,,,dbb983cb-5555-42bb-965e-4128571a6b39
SET/COLLECTION RECORD,MISSING_BOTH,,1964-2012,,Kennedy 50 cent year set  48 coins including 2005 coin,MS60,,,,,47ac9913-3be2-4934-88f0-c9e88e48a010
SET/COLLECTION RECORD,MISSING_BOTH,,1965,,Special Mint Set soft holder,uncirculated,,,,,e6c3cdb3-1992-44a8-96b4-a9e42b9be920
SET/COLLECTION RECORD,MISSING_BOTH,,1966,,Special Mint Set Hard Holder,uncirculated,,,,,344378a4-de23-41a0-ae35-b8a5e824081c
SET/COLLECTION RECORD,MISSING_BOTH,,1967,,Special Mint Set hard holder,uncirculated,,,,,bc6487c3-baef-4e4b-b789-59802b29d672
SET/COLLECTION RECORD,MISSING_BOTH,,1968S,,Clad Proof Set 5 coins,ch proof 63,,,,,5de66bea-05b5-4c3c-9ce4-620689d8852b
SET/COLLECTION RECORD,MISSING_BOTH,,1971S,,Clad  Proof Set 5 coins,ch proog 63,,,,,80bdf654-7187-46cd-8b29-025af073c16d
SET/COLLECTION RECORD,MISSING_BOTH,,1972S,,Clad Proof set 5 coins,ch proof 63,,,,,50fd7f72-4416-4779-be91-5ca3b5d82381
SET/COLLECTION RECORD,MISSING_BOTH,,1976S,,Clad  Proof Set 6 coins,ch proog 63,,,,,0d7b3a6d-cd7e-4faf-88f7-6d03653b08c9
SET/COLLECTION RECORD,MISSING_BOTH,,1977S,,Clad  Proof Set 6 coins,ch proog 63,,,,,ac6bb748-b5e9-46e2-b37f-06c67b56bb20
SET/COLLECTION RECORD,MISSING_BOTH,,1978S,,Clad  Proof Set 6 coins,ch proog 63,,,,,5620bc6b-1206-486f-bbae-5b4bec6fca5f
SET/COLLECTION RECORD,MISSING_BOTH,,1979-99,,Susan B. Anthony 4 coin Year Set,uncirculated,,,,,cad31f3d-3385-4923-b5b4-60f1c260290b
