"Name","RelPath"
"$1_Silver_Eagle_Type_2_Reverse_attr_US_Mint.png","AJ's\$1_Silver_Eagle_Type_2_Reverse_attr_US_Mint.png"
"1795-draped-bust-liberty-dollar-obverse.jpg","US Mint\Bulk_Scrape\Dollar\1795-draped-bust-liberty-dollar-obverse.jpg"
"1796-draped-bust-quarter-obverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1796-draped-bust-quarter-obverse.jpg"
"1804%20silver%20dollar%20reverse.jpg","US Mint\Bulk_Scrape\Dollar\1804%20silver%20dollar%20reverse.jpg"
"1804-dollar-gold-obverse.jpg","US Mint\HighRes_Scrape\1804-dollar-gold-obverse.jpg"
"1804-dollar-gold-obverse.jpg","US Mint\Bulk_Scrape\Dollar\1804-dollar-gold-obverse.jpg"
"1804-dollar-gold-reverse.jpg","US Mint\HighRes_Scrape\1804-dollar-gold-reverse.jpg"
"1804-dollar-gold-reverse.jpg","US Mint\Bulk_Scrape\Dollar\1804-dollar-gold-reverse.jpg"
"1804-Dollar-Silver-Medal-Obverse.jpg","US Mint\HighRes_Scrape\1804-Dollar-Silver-Medal-Obverse.jpg"
"1804-Dollar-Silver-Medal-Reverse.jpg","US Mint\HighRes_Scrape\1804-Dollar-Silver-Medal-Reverse.jpg"
"1819_cent_obv_Coronet large cent Matron Head_attr_US_Mint.jpg","AJ's\1819_cent_obv_Coronet large cent Matron Head_attr_US_Mint.jpg"
"1819_cent_rev_Coronet large cent Matron Head_attr_US_MINT.jpg","AJ's\1819_cent_rev_Coronet large cent Matron Head_attr_US_MINT.jpg"
"1822_25C_PR_(over_50C) Capped Bust_attr_National_Museum_of_American_History.jpg","AJ's\1822_25C_PR_(over_50C) Capped Bust_attr_National_Museum_of_American_History.jpg"
"1822_25C_PR_(over_50C)_Capped_Bust_attr_National_Museum_of_American_History.jpg","wikipedia\historic_quarters\1822_25C_PR_(over_50C)_Capped_Bust_attr_National_Museum_of_American_History.jpg"
"1822_50C_PR Capped Bust Half Dollar_attr_National_Museum_of_American_History.jpg","AJ's\1822_50C_PR Capped Bust Half Dollar_attr_National_Museum_of_American_History.jpg"
"1822_50C_PR_Capped Bust_attr_National_Museum_of_American_History.jpg","wikipedia\historic_quarters\1822_50C_PR_Capped Bust_attr_National_Museum_of_American_History.jpg"
"1831-5C_(clashed_reverse_die) Capped Bust_attr_National_Museum_of_American_History.jpg","wikipedia\historic_quarters\1831-5C_(clashed_reverse_die) Capped Bust_attr_National_Museum_of_American_History.jpg"
"1831-5C_(clashed_reverse_die)_Capped Bust _attr_National_Museum_of_American_History.jpg","AJ's\1831-5C_(clashed_reverse_die)_Capped Bust _attr_National_Museum_of_American_History.jpg"
"1834_10C_PR_(large_4) Capped Bust Dime _attr_National_Museum_of_American_History.jpg","AJ's\1834_10C_PR_(large_4) Capped Bust Dime _attr_National_Museum_of_American_History.jpg"
"1834_10C_PR_(large_4)_Capped Bust_attr_National_Museum_of_American_History.jpg","wikipedia\historic_quarters\1834_10C_PR_(large_4)_Capped Bust_attr_National_Museum_of_American_History.jpg"
"1836_P$1_Gobrecht_Name_Below_Base_(Judd-58,_Restrike)_attr_Heritage_Auctions.jpg","wikipedia\historic_quarters\1836_P$1_Gobrecht_Name_Below_Base_(Judd-58,_Restrike)_attr_Heritage_Auctions.jpg"
"1837_cent_obv_Coronet large cent Matron Head_attr_NGC.jpg","AJ's\1837_cent_obv_Coronet large cent Matron Head_attr_NGC.jpg"
"1838-capped-liberty-quarter-obverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1838-capped-liberty-quarter-obverse.jpg"
"1838-seated-liberty-quarter-obverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1838-seated-liberty-quarter-obverse.jpg"
"1839_Braided_Hair_cent_obverse_Coronet large cent_attr_NGC.jpg","AJ's\1839_Braided_Hair_cent_obverse_Coronet large cent_attr_NGC.jpg"
"1855_cent_obv_Coronet large cent Braided Hair_attr_US_MINT.jpg","AJ's\1855_cent_obv_Coronet large cent Braided Hair_attr_US_MINT.jpg"
"1855_cent_rev_Coronet large cent Braided Hair_attr_US_MINT.jpg","AJ's\1855_cent_rev_Coronet large cent Braided Hair_attr_US_MINT.jpg"
"1859-O_$1 Seated Liberty _attr_Heritage_Auctions.jpg","wikipedia\historic_quarters\1859-O_$1 Seated Liberty _attr_Heritage_Auctions.jpg"
"1859-O_$1_Seated Liberty_attr_Heritage_Auctions.jpg","wikipedia\historic_quarters\1859-O_$1_Seated Liberty_attr_Heritage_Auctions.jpg"
"1871_Proof_Seated_Liberty_dollar_reverse__attr__Lost_Dutchman_Rare_Coins.jpg","wikipedia\historic_quarters\1871_Proof_Seated_Liberty_dollar_reverse__attr__Lost_Dutchman_Rare_Coins.jpg"
"1873-seated-liberty-silver-dollar-obverse.jpg","US Mint\Bulk_Scrape\Dollar\1873-seated-liberty-silver-dollar-obverse.jpg"
"1873-seated-liberty-silver-dollar-reverse.jpg","US Mint\Bulk_Scrape\Dollar\1873-seated-liberty-silver-dollar-reverse.jpg"
"1892-barber-quarter-obverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1892-barber-quarter-obverse.jpg"
"1892-columbian-exposition-commemorative-silver-half-dollar-coin-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1892-columbian-exposition-commemorative-silver-half-dollar-coin-reverse.jpg"
"1893-queen-isabella-commemorative-silver-quarter-dollar-coin-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1893-queen-isabella-commemorative-silver-quarter-dollar-coin-obverse.jpg"
"1907-double-eagle-background.jpg","US Mint\Bulk_Scrape\Gold_Eagles\1907-double-eagle-background.jpg"
"1907-indian-head-gold-eagle-reverse.jpg","US Mint\Bulk_Scrape\Gold_Eagles\1907-indian-head-gold-eagle-reverse.jpg"
