Count,Year,Mint,Denomination,Program/Series,Theme/Subject,Resolved_Program,Resolved_Subject,Best_Key_Tried
66,1934,,5-Coin Set,Time Capsule Year Set,,UNKNOWN,,—no match—
11,1974,S,Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1974_S_dollar
10,1973,S,Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1973_S_dollar
10,2022,S,Quarter,US Women's Quarters,Anna Mae Wong,quarter,,2022_S_quarter
9,1921,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1921_lincoln-cent
9,2023,,Morgan Silver Dollar,Modern Morgan and Peace Silver Dollar Collection,Morgan Dollar,morgan-dollar,,2023_morgan-dollar
8,1925,,Penny,Lincoln Head Cent,Lincoln Head,lincoln-cent,,1925_lincoln-cent
7,1911,,Penny,Lincoln Head Cent,Lincoln Head,lincoln-cent,,1911_lincoln-cent
7,1916,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1916_lincoln-cent
7,1924,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1924_lincoln-cent
7,1928,,Penny,Lincoln Head Cent,Lincoln Head,lincoln-cent,,1928_lincoln-cent
7,1930,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1930_lincoln-cent
7,1982,D,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1982_D_lincoln-cent
6,1911,D,Half Dollar,Barber,Liberty Head,barber,,1911_D_barber
6,1912,,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1912_lincoln-cent
6,1917,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1917_lincoln-cent
6,1919,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1919_lincoln-cent
6,1920,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1920_lincoln-cent
6,1931,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1931_lincoln-cent
6,1938,,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1938_lincoln-cent
6,1939,,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1939_lincoln-cent
6,1957,,Penny,Lincoln Head Cent,Lincoln Head,lincoln-cent,,1957_lincoln-cent
6,1958,,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1958_lincoln-cent
6,1963,D,Dime,,,dime,,1963_D_dime
6,1971,S,1 Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1971_S_dollar
6,1972,S,Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1972_S_dollar
6,2015,P,1,Presidential Dollars,Dwight D. Eisenhower,presidential-dollars,,2015_P_presidential-dollars
6,2015,D,1,Presidential Dollars,Harry S. Truman,presidential-dollars,,2015_D_presidential-dollars
5,1880,CC,1 Dollar,Morgan Silver Dollars,Morgan Dollar,morgan-dollar,,1880_CC_morgan-dollar
5,1910,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1910_lincoln-cent
5,1913,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1913_lincoln-cent
5,1914,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1914_lincoln-cent
5,1915,,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1915_lincoln-cent
5,1918,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1918_lincoln-cent
5,1922,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1922_lincoln-cent
5,1923,,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1923_lincoln-cent
5,1926,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1926_lincoln-cent
5,1927,,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1927_lincoln-cent
5,1929,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1929_lincoln-cent
5,1932,,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1932_lincoln-cent
5,1933,,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1933_lincoln-cent
5,1934,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1934_lincoln-cent
5,1935,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1935_lincoln-cent
5,1936,,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1936_lincoln-cent
5,1940,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1940_lincoln-cent
5,1945,S,Quarter,Washington Quarter,Washington,quarter,,1945_S_quarter
5,1946,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1946_lincoln-cent
5,1952,D,Franklin Half Dollar,Franklin Half Dollar,Franklin,kennedy-half-dollar,,1952_D_kennedy-half-dollar
5,1952,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1952_kennedy-half-dollar
5,1955,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1955_lincoln-cent
5,1956,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1956_lincoln-cent
5,1960,D,Penny,Lincoln Cent,Lincoln Head,lincoln-cent,,1960_D_lincoln-cent
5,1982,,Penny,Lincoln Head Penny,Small Date Zinc,lincoln-cent,,1982_lincoln-cent
4,1819,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1819_kennedy-half-dollar
4,1828,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1828_kennedy-half-dollar
4,1891,,1,Morgan Silver Dollar,,morgan-dollar,,1891_morgan-dollar
4,1891,O,1,Morgan Silver Dollar,,morgan-dollar,,1891_O_morgan-dollar
4,1891,CC,1 Dollar,Morgan Silver Dollars,Morgan Dollar,morgan-dollar,,1891_CC_morgan-dollar
4,1895,S,Half Dollar,Barber,Liberty Head,barber,,1895_S_barber
4,1905,O,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1905_O_barber
4,1905,S,Dime,Barber Series,Liberty Head,barber,,1905_S_barber
4,1907,O,Half Dollar,Barber,Liberty Head,barber,,1907_O_barber
4,1910,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1910_S_lincoln-cent
4,1912,D,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1912_D_barber
4,1912,S,Dime,Barber Series,Liberty Head,barber,,1912_S_barber
4,1913,S,Dime,Barber Series,Liberty Head,barber,,1913_S_barber
4,1913,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1913_S_lincoln-cent
4,1914,S,Dime,Barber Series,Liberty Head,barber,,1914_S_barber
4,1914,S,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1914_S_lincoln-cent
4,1915,S,Dime,Barber Series,Liberty Head,barber,,1915_S_barber
4,1924,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1924_D_lincoln-cent
4,1934,,Quarter,Washington Silver Quarter,,quarter,,1934_quarter
4,1939,S,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1939_S_lincoln-cent
4,1941,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1941_lincoln-cent
4,1942,,Penny,Lincoln Wheat Cent,Abraham Lincoln,lincoln-cent,,1942_lincoln-cent
4,1944,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1944_lincoln-cent
4,1945,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1945_lincoln-cent
4,1946,,Quarter,Washington Silver Quarter,,quarter,,1946_quarter
4,1947,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1947_lincoln-cent
4,1948,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1948_lincoln-cent
4,1949,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1949_lincoln-cent
4,1950,,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1950_lincoln-cent
4,1951,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1951_kennedy-half-dollar
4,1951,,Penny,Lincoln Wheat Cent Series,Abraham Lincoln,lincoln-cent,,1951_lincoln-cent
4,1952,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1952_lincoln-cent
4,1953,,Penny,Lincoln Cent,Wheat Reverse,lincoln-cent,,1953_lincoln-cent
4,1955,S,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1955_S_lincoln-cent
4,1960,,Penny,Lincoln Memorial Cent,Lincoln Head,lincoln-cent,,1960_lincoln-cent
4,1970,S,Penny,Lincoln Cent,"Lincoln Memorial Reverse, Large Date Variety",lincoln-cent,,1970_S_lincoln-cent
4,1971,S,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1971_S_lincoln-cent
4,1992,,Dollar,American Eagle,,american-eagle-silver,,1992_american-eagle-silver
4,2018,,American Silver Eagle Dollar,American Silver Eagle,,american-eagle-silver,,2018_american-eagle-silver
4,2021,,American Silver Eagle Dollar,American Silver Eagle Program,Type II Reverse Design,american-eagle-silver,,2021_american-eagle-silver
