Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Memorial Cents,One Cent,,,"1 Cent ""Lincoln Memorial Cent"" (Bronze)",Yes,Yes,Yes,Yes
coin,Lincoln Memorial Cents,One Cent,,,"1 Cent ""Lincoln Memorial Cent"" (copper plated zinc)",Yes,Yes,Yes,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (1st portrait)",Yes,Yes,Yes,Yes
coin,Jefferson Wartime Nickels,Five Cents,,,"5 Cents ""Jefferson Wartime Nickel"" (1st portrait)",Yes,No,No,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Louisiana Purchase)",Yes,Yes,Yes,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Keelboat)",Yes,Yes,Yes,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Bison)",Yes,Yes,Yes,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (Westward Journey, Ocean View)",Yes,Yes,Yes,Yes
coin,Jefferson Nickels,Five Cents,,,"5 Cents ""Jefferson Nickel"" (2nd portrait, Return to Monticello)",Yes,Yes,Yes,Yes
coin,Mercury Dimes,One Dime,,,"1 Dime ""Mercury Dime""",Yes,Yes,Yes,Yes
coin,Roosevelt Dimes,One Dime,,,"1 Dime ""Roosevelt Silver Dime""",Yes,Yes,Yes,Yes
coin,Roosevelt Dimes,One Dime,,,"1 Dime ""Roosevelt Dime""",Yes,Yes,Yes,Yes
coin,Washington Silver Quarters,Quarter Dollar,,,"¼ Dollar ""Washington Silver Quarter""",Yes,No,No,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter""",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Bicentennial)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Delaware)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Pennsylvania)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Georgia)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maryland)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Carolina)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Hampshire)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Virginia)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New York)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Carolina)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Rhode Island)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Kentucky)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Tennessee)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Ohio)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Louisiana)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Indiana)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Mississippi)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Illinois)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Alabama)",Yes,Yes,Yes,Yes
coin,Washington Quarters (Classic),Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maine)",Yes,Yes,Yes,Yes
