original,new_file,attribution,image_url
2025-american-women-quarters-coin-proof-obverse.jpg,attributed_2025-american-women-quarters-coin-proof-obverse.jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-american-women-quarters-coin-proof-obverse.jpg
2025-native-american-one-dollar-proof-coin-obverse (1).jpg,attributed_2025-native-american-one-dollar-proof-coin-obverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-native-american-one-dollar-proof-coin-obverse (1).jpg
American-Eagle-Gold-Proof-Reverse.jpg,attributed_American-Eagle-Gold-Proof-Reverse.jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_American-Eagle-Gold-Proof-Reverse.jpg
Omega-Penny-Obverse-Philadelphia (1).jpg,attributed_Omega-Penny-Obverse-Philadelphia (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_Omega-Penny-Obverse-Philadelphia (1).jpg
2025-Batman-Gold-Proof-Coin-Obverse (1).jpg,attributed_2025-Batman-Gold-Proof-Coin-Obverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-Batman-Gold-Proof-Coin-Obverse (1).jpg
2025-Peace-Proof-Obverse (1).jpg,attributed_2025-Peace-Proof-Obverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-Peace-Proof-Obverse (1).jpg
2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg,attributed_2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg
2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse (1).jpg
Penny-Proof-Obverse (1).jpg,attributed_Penny-Proof-Obverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_Penny-Proof-Obverse (1).jpg
SemiQ-Dime-Obverse-Unc-P.jpg,attributed_SemiQ-Dime-Obverse-Unc-P.jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_SemiQ-Dime-Obverse-Unc-P.jpg
Standing-Liberty-Gold-Obverse.jpg,attributed_Standing-Liberty-Gold-Obverse.jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_Standing-Liberty-Gold-Obverse.jpg
2025-Morgan-Unc-Reverse (1).jpg,attributed_2025-Morgan-Unc-Reverse (1).jpg,United States Mint image,https://storage.googleapis.com/us_mint_coin_images/Numista_Attributed_Coins%20%281%29/final_attributed_2025-Morgan-Unc-Reverse (1).jpg
