original,new_file,attribution
2025-american-women-quarters-coin-proof-obverse.jpg,attributed_2025-american-women-quarters-coin-proof-obverse.jpg,United States Mint image
2025-native-american-one-dollar-proof-coin-obverse (1).jpg,attributed_2025-native-american-one-dollar-proof-coin-obverse (1).jpg,United States Mint image
American-Eagle-Gold-Proof-Reverse.jpg,attributed_American-Eagle-Gold-Proof-Reverse.jpg,United States Mint image
Omega-Penny-Obverse-Philadelphia (1).jpg,attributed_Omega-Penny-Obverse-Philadelphia (1).jpg,United States Mint image
2025-Batman-Gold-Proof-Coin-Obverse (1).jpg,attributed_2025-Batman-Gold-Proof-Coin-Obverse (1).jpg,United States Mint image
2025-Peace-Proof-Obverse (1).jpg,attributed_2025-Peace-Proof-Obverse (1).jpg,United States Mint image
2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg,attributed_2025-american-eagle-gold-one-ounce-proof-coin-obverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse (1).jpg,United States Mint image
Penny-Proof-Obverse (1).jpg,attributed_Penny-Proof-Obverse (1).jpg,United States Mint image
SemiQ-Dime-Obverse-Unc-P.jpg,attributed_SemiQ-Dime-Obverse-Unc-P.jpg,United States Mint image
Standing-Liberty-Gold-Obverse.jpg,attributed_Standing-Liberty-Gold-Obverse.jpg,United States Mint image
2025-Morgan-Unc-Reverse (1).jpg,attributed_2025-Morgan-Unc-Reverse (1).jpg,United States Mint image
SemiQ-Mayflower-Obverse-Unc-P.jpg,attributed_SemiQ-Mayflower-Obverse-Unc-P.jpg,United States Mint image
SemiQ-Declaration-Obverse-Unc-D (1).jpg,attributed_SemiQ-Declaration-Obverse-Unc-D (1).jpg,United States Mint image
2025-american-women-quarters-coin-uncirculated-obverse-philadelphia (1).jpg,attributed_2025-american-women-quarters-coin-uncirculated-obverse-philadelphia (1).jpg,United States Mint image
SemiQ-Revolutionary-War-Obverse-Proof.jpg,attributed_SemiQ-Revolutionary-War-Obverse-Proof.jpg,United States Mint image
2025-roosevelt-dime-proof-obverse (1).jpg,attributed_2025-roosevelt-dime-proof-obverse (1).jpg,United States Mint image
SemiQ-Nickel-Reverse-Unc.jpg,attributed_SemiQ-Nickel-Reverse-Unc.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-obverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-obverse.jpg,United States Mint image
SemiQ-Nickel-Reverse-Unc (1).jpg,attributed_SemiQ-Nickel-Reverse-Unc (1).jpg,United States Mint image
2025-Wonder-Woman-Gold-Proof-Coin-Obverse (1).jpg,attributed_2025-Wonder-Woman-Gold-Proof-Coin-Obverse (1).jpg,United States Mint image
American-Eagle-Platinum-Proof-Obverse (1).jpg,attributed_American-Eagle-Platinum-Proof-Obverse (1).jpg,United States Mint image
2025-Peace-Unc-Obverse (1).jpg,attributed_2025-Peace-Unc-Obverse (1).jpg,United States Mint image
Nickel-Proof-Reverse.jpg,attributed_Nickel-Proof-Reverse.jpg,United States Mint image
2025-Morgan-Proof-Obverse (1).jpg,attributed_2025-Morgan-Proof-Obverse (1).jpg,United States Mint image
American-Eagle-Silver-Bullion-Reverse.jpg,attributed_American-Eagle-Silver-Bullion-Reverse.jpg,United States Mint image
American-Buffalo-Gold-Bullion-Reverse.jpg,attributed_American-Buffalo-Gold-Bullion-Reverse.jpg,United States Mint image
2025-roosevelt-dime-proof-obverse.jpg,attributed_2025-roosevelt-dime-proof-obverse.jpg,United States Mint image
2025-Morgan-Unc-Obverse (1).jpg,attributed_2025-Morgan-Unc-Obverse (1).jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-uncirculated-coin-obverse.jpg,attributed_2023-american-eagle-palladium-one-ounce-uncirculated-coin-obverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-obverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-obverse.jpg,United States Mint image
SemiQ-Gettysburg-Reverse-Proof (1).jpg,attributed_SemiQ-Gettysburg-Reverse-Proof (1).jpg,United States Mint image
Native-American-$1-Unc-Obverse (1).jpg,attributed_Native-American-$1-Unc-Obverse (1).jpg,United States Mint image
SemiQ-Half-Dollar-Reverse-Unc (1).jpg,attributed_SemiQ-Half-Dollar-Reverse-Unc (1).jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-reverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-reverse.jpg,United States Mint image
2023-american-eagle-platinum-one-ounce-bullion-coin-obverse (1).jpg,attributed_2023-american-eagle-platinum-one-ounce-bullion-coin-obverse (1).jpg,United States Mint image
Native-American-$1-Unc-Reverse (1).jpg,attributed_Native-American-$1-Unc-Reverse (1).jpg,United States Mint image
Half-Dollar-Proof-Reverse.jpg,attributed_Half-Dollar-Proof-Reverse.jpg,United States Mint image
2024-american-eagle-palladium-one-ounce-proof-coin-reverse (1).jpg,attributed_2024-american-eagle-palladium-one-ounce-proof-coin-reverse (1).jpg,United States Mint image
American-Eagle-Silver-Bullion-Obverse.jpg,attributed_American-Eagle-Silver-Bullion-Obverse.jpg,United States Mint image
2025-lincoln-penny-proof-obverse (1).jpg,attributed_2025-lincoln-penny-proof-obverse (1).jpg,United States Mint image
2025-american-eagle-laser-privy-silver-proof-obverse.jpg,attributed_2025-american-eagle-laser-privy-silver-proof-obverse.jpg,United States Mint image
2025-jefferson-nickel-uncirculated-reverse.jpg,attributed_2025-jefferson-nickel-uncirculated-reverse.jpg,United States Mint image
Dime-Proof-Reverse.jpg,attributed_Dime-Proof-Reverse.jpg,United States Mint image
SemiQ-Gettysburg-Obverse-Unc-D (1).jpg,attributed_SemiQ-Gettysburg-Obverse-Unc-D (1).jpg,United States Mint image
Mercury-Dime-Gold-Obverse.jpg,attributed_Mercury-Dime-Gold-Obverse.jpg,United States Mint image
Omega-Penny-Obverse-Gold.jpg,attributed_Omega-Penny-Obverse-Gold.jpg,United States Mint image
Walking-Liberty-Gold-Reverse.jpg,attributed_Walking-Liberty-Gold-Reverse.jpg,United States Mint image
2025-Superman-Gold-Obverse.jpg,attributed_2025-Superman-Gold-Obverse.jpg,United States Mint image
