Year,Mint Mark,Denomination,Country,Condition,Program/Series,Variety,Grading Service,Certification Number,AI Estimated Value,Melt Value,Personal Notes I
1804,P,Silver Dollar $1,USA,PR-65,Classic U.S. Rarities,,PCGS,11884,$4200000.00,$18.60,King of American Coins - Class I Original. Only 8 known.
1933,P,$20 Gold Double Eagle,USA,MS-65,Saint-Gaudens Double Eagle,,NGC,4788432,$18500000.00,$2250.00,Famously rare - most were melted by Executive Order. Legal to own.
1907,P,$20 Gold,USA,MS-63,Saint-Gaudens Double Eagle,High Relief,PCGS,25741058,$8500.00,$2250.00,Augustus Saint-Gaudens masterpiece design - High Relief version
1885,CC,Dollar $1,USA,MS-65,Morgan Dollars,,NGC,3856122,$35000.00,$18.60,Carson City - extraordinarily rare in Mint State
1913,P,Nickel 5c,USA,PR-64,Liberty Head Nickel,,PCGS,18158126,$4500000.00,$0.05,Only 5 specimens known to exist. One of the great rarities.
2000,P,Quarter 25c,USA,MS-68,Sacagawea / State Quarters,Mule Error,,,$84000.00,$0.05,Famous mule error - Sacagawea dollar obverse with State Quarter reverse eagle
1975,No S,Dime 10c,USA,PR-65,Roosevelt Dime,No Mintmark,,,$450000.00,$1.52,Proof with no S mintmark - very rare. Most discovered in proof sets.
1970,D,Half Dollar 50c,USA,MS-65,Kennedy Half Dollar,,,,175.00,$0.11,Low mintage - not released to general circulation
1796,P,Dime 10c,USA,F-15,Early American,15 Stars,,,$2800.00,$1.52,Draped Bust - first dime design. 15 stars on obverse.
1856,P,Cent 1c,USA,EF-40,Flying Eagle Cent,,,,7500.00,$0.02,Pattern coin turned regular issue - first small cent design
