doc_id,raw_denom,raw_program,raw_category,source_document_name,source_type,invoice_number,original_description
00154802-4a9a-4a22-82bd-a01345ebde10,$1,The Statehood Innovation Dollar Coin Collection,paper_currency,Receipt_2026-06-03_100133.pdf,PDF Invoice,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 28 FLORIDA
0023de4a-fee1-4923-8ef7-bf3e70ad2e63,Five Cents,USA Invoice Import,,Receipt_2026-06-03_092205.pdf,PDF Invoice,67000001,1948 Jefferson Nickel Average Circ
005799c4-dd49-4c73-9535-3face1153fd6,Quarter Dollar,American Women Quarters,,Receipt_2026-06-03_091429.pdf,PDF Invoice,66520055,WASHINGTON QUARTER CLUB SELECTION 2023-P Jovita Idar Quarter Taxable Item
00a7aafd-c601-4be7-8f37-8388802c3e6e,Quarter Dollar,American Women Quarters,,Receipt_2026-06-03_091429.pdf,PDF Invoice,66520055,2024-S Pauli Murray Quarter Taxable Item
0129b845-1b55-4dae-8f28-b7579c73467b,Half Dollar,USA Invoice Import,,Scan_20260129 (36).pdf,PDF Invoice,66327175,2024-S Kennedy Half Dollar Tax Free Item
0137c277-1ae2-4e4b-a127-f338e39bc1e3,Half Dollar,USA Invoice Import,,Scan_20260129 (36).pdf,PDF Invoice,66327175,2022-S Kennedy 50C 99.9% Silver Tax Free Item
0162d870-8dfa-4b23-8822-09b0542bd6a6,Dollar,Statehood Innovation Dollar Coin Collection,,Scan_20260129 (114).pdf,PDF Invoice,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 25 MISSOURI
017c1baf-10b1-40bb-9bb5-3837d60d0acc,Five Cents,The U.S. Nickel Collection,,Scan_20260129 (109)_Part2.pdf,PDF Invoice,405213042,1973 JEFFERSON NICKEL
0197b4f7-8795-4365-a0bd-98e5c60c4025,Half Dollar,Half Dollar Club Selection,,Scan_20260129 (6).pdf,PDF Invoice,67874238,THE HALF DOLLAR CLUB SELECTION 1866 Liberty Seated Silver Half Dollar Motto PCGS VF35 Taxable Item Very Fine 35
01ce05c2-c3a3-4dd8-ae04-e9a1681a1fbc,Dime,USA Invoice Import,,Receipt_2026-06-03_094010.pdf,PDF Invoice,66151496,2003-P Roosevelt Dime Tax Free Item
023eccfd-4304-44dc-a511-ed589e7d54ce,Dime,U.S. Dime Collection Selection,,Receipt_2026-06-03_094010.pdf,PDF Invoice,67593420,"U.S. DIME COLLECTION SELECTION
1849 Liberty Seated Silver Dime
Stars
Taxable Item"
02a0180b-b70d-4845-b308-575e4903bd70,Cent,USA Invoice Import,,Receipt_2026-06-03_091509.pdf,PDF Invoice,67054670,2023-S Lincoln Head Cent Ch Proof-63
02a1632e-df62-4e2f-a236-563c3f1d37a0,Dollar,USA Invoice Import,,Scan_20260128 (8).pdf,PDF Invoice,65712953,1974-S Eisenhower Dollar Silver Clad Ch Proof-63
0b5595f3-aadc-4150-93eb-70d5a70cb1b6,Half Dollar,The Half Dollar Club,,Scan_20260129 (41).pdf,PDF Invoice,67268238,THE HALF DOLLAR CLUB
126a6715-745f-4b1c-9b9f-6d36e308a944,Half Dollar,Advertisement Items,,Receipt_2026-06-03_102540.pdf,PDF Invoice,68564410,"Advertisement Items
1982-D or S George Washington Silver
Commemorative Half Dollar"
17e6602f-f930-4872-b7da-1a8916a108fb,Mixed,Prestige Proof Set,,Scan_20260129 (52).pdf,PDF Invoice,67343149,1990 6 Coin Prest Prf Set Ike$ Ch Proof-63
254a80a6-bae1-489d-882d-b57869fc3ac5,Dime,USA Invoice Import,,Scan_20260129 (32).pdf,PDF Invoice,65773987,1892 Barber Silver Dime Tax Free Item Good
27653b41-f822-4107-b085-6e18a570ab8a,Year Set,USA Invoice Import,,2026-06-03_091725.pdf,PDF Invoice,67305371,1964 5-Coin Time Capsule Year Set Tax Free Item Circulated
32fd4983-6705-4e13-bc5f-05a22ef7b3db,Mixed,The World War II U.S. Coin Collection,,Scan_20260129 (102).pdf,PDF Invoice,406380469,"THE WORLD WAR II U.S. COIN COLLECTION
ENCLOSED IS SHIPMENT # 2
1941-S LINCOLN PENNY
1941-S JEFFERSON NICKEL
1941-S MERC. DIME & WASHINGTON QUARTER
1941-S WALKING LIBERTY HALF-DOLLAR
1940 3C TORCH OF ENLIGHTENMENT STAMP (5)"
37b23c58-23ba-40eb-b648-1384be8bb707,Various,U.S. Uncirculated Coin Mint Sets,,Scan_20260129 (122)_Part4.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 81 2022 DENVER MINT PANEL
396ba4ea-6400-405d-9fc7-f75a89a045df,Half Dollar,Capped Bust,,Scan_20260129 (Train with).pdf,PDF Invoice,65696398,WASHINGTON QUARTER CLUB SELECTION 1824 Capped Bust Silver Half Dollar Normal Date Ovt# 106A NGC Taxable Item Extra Fine 4
3c7ce9a7-8e5a-4193-bf41-aed48d3facfd,Mixed,The World War II U.S. Coin Collection,,Scan_20260129 (101).pdf,PDF Invoice,406380469,"THE WORLD WAR II U.S. COIN COLLECTION ENCLOSED IS SHIPMENT # 3: 1941-D LINCOLN PENNY, 1941-D JEFFERSON NICKEL, 1941-D MERC. DIME & WASHINGTON QUARTER, 1941-D WALKING LIBERTY HALF-DOLLAR, 1940 2C 90MM ANTI-AIRCRAFT GUN STAMP (9)"
522797ed-82cc-4ca2-937a-d92fd312f778,5-Coin Set,America Revisited Club,,Scan_20260129 (47).pdf,PDF Invoice,67573806,1954 5-Coin Time Capsule Year Set Taxable Item
55f1bafd-dd46-49ae-b130-d833ce46445e,Various,Time Capsule Year Set,,Scan_20260129 (46).pdf,PDF Invoice,67417854,1942 5-Coin Time Capsule Year Set Taxable Item Circulated o
5b0e227f-48f5-455f-826f-7369743e0373,Mixed,The World War II U.S. Coin Collection,,Scan_20260129 (59).pdf,PDF Invoice,406380469,"THE WORLD WAR II U.S. COIN COLLECTION
ENCLOSED IS SHIPMENT # 6
1942-S LINCOLN PENNY
1942-S JEFFERSON WARTIME SILVER NICKEL
1942-S MERC. DIME & WASHINGTON QUARTER
1942-S WALKING LIBERTY HALF-DOLLAR
1943 1C FOUR FREEDOMS STAMP (6)"
5b13cbdc-6cb4-4595-91e7-65475ff4e52a,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (48).pdf,PDF Invoice,67521147,1961 5-Coin Time Capsule Year Set Taxable Item
5bc529a5-7d8a-4c90-8869-4ae229ee436c,Proof Set,USA Invoice Import,,2026-06-03_091725.pdf,PDF Invoice,67305371,2024-S Clad Proof Set 10 Coins Ch Proof-63
5c8bd99f-cdbc-40bf-9f0e-d20747f0c685,Birth Year Set,Birth Year Sets,,Scan_20260128.pdf,PDF Invoice,71802670-1,1942 Birth Yr Coin and Silver Comm. Set
6e3c0dcc-db1b-4306-bb1c-07b7159e5ce3,Mint Set,U.S. Uncirculated Coin Mint Sets,,Receipt_2026-06-03_095940.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 84 ONE PANEL AT $39.95 PLUS $4.50 SHIPPING AND SERVICE 2024 DENVER MINT PANEL
7e07d8a3-0260-4e10-8a0d-fa30667096f9,5-Coin Set,America Revisited Club,,Scan_20260129 (47).pdf,PDF Invoice,67573806,YEAR SETS: AMERICA REVISITED SELECTION 1939 5-Coin Time Capsule Year Set Taxable Item
80bf650a-e6a6-43bb-b276-eff16ff95f6f,Kennedy Half Dollar & Native American Dollar,USA Invoice Import,,Receipt_2026-06-03_091829.pdf,PDF Invoice,67290645,2024 P and D Mint Kennedy Half Dollars and Native American Dollars in Showpak
832aa84c-9c38-4a9c-87a4-b5dc167e29e2,Mint Set,U.S. Uncirculated Coin Mint Sets,,Receipt_2026-06-03_095940.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 81 2022 DENVER MINT PANEL
83c3f2a9-a51f-4d6d-b8ff-a0cfda76819f,Mint Set,U.S. Uncirculated Coin Mint Sets,,Receipt_2026-06-03_095940.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 82 2023 DENVER MINT PANEL
99b9b27b-9926-4c39-99e8-849c73a561d8,Prestige Proof Set,USA Invoice Import,,Receipt_2026-06-03_101701_Part1.pdf,PDF Invoice,67343149,1990 6 Coin Prest Prf Set Ike$
9e227c76-aac2-4739-8e8c-553c6e3f03a0,Mint Set,U.S. Uncirculated Coin Mint Sets,,Receipt_2026-06-03_095940.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 85 2024 PHILADELPHIA MINT PANEL
a1b3365c-87a8-431a-aee1-bb850ab9ec38,Proof Set,USA Invoice Import,,Receipt_2026-06-03_101701_Part1.pdf,PDF Invoice,67506820,1983-S Clad Proof Set 5 Coins
a72e3346-283a-4227-918b-b5704c95e470,Half Dollar,The U.S. Coin Complete Denomination Set,,Receipt_2026-06-03_095754.pdf,PDF Invoice,406368555,THE U.S. COIN COMPLETE DENOMINATION SET ENCLOSED IS SHIPMENT # 3 WALKING LIBERTY HALF-DOLLAR
a9981b16-48ba-4125-a26d-14bcef77b1b2,Dime,The U.S. Coin Complete Denomination Set,,Receipt_2026-06-03_095754.pdf,PDF Invoice,406368555,THE U.S. COIN COMPLETE DENOMINATION SET ENCLOSED IS SHIPMENT # 2 MERCURY DIME
aba9c78e-dd1f-4c6d-b141-5ad291ffdebe,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (43).pdf,PDF Invoice,68120353,1956 5-Coin Time Capsule Year Set Taxable Item
aea35072-c05d-47c8-8af2-fbb67a008564,Mint Set,U.S. Uncirculated Coin Mint Sets,,Receipt_2026-06-03_095940.pdf,PDF Invoice,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 83 2023 PHILADELPHIA MINT PANEL
b25c8741-0651-4791-91d7-bcc644100337,Dollar,Statehood Innovation Dollar Coin Collection,,Scan_20260129 (116).pdf,PDF Invoice,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 26 ARKANSAS
b7b05393-971d-481a-90d7-b5e889b287d4,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (43).pdf,PDF Invoice,68120353,1951 5-Coin Time Capsule Year Set Taxable Item
d32e2153-6e7e-448b-a990-dc15f52492f7,Various,Time Capsule Year Set,,Scan_20260129 (46).pdf,PDF Invoice,67417854,YEAR SETS: AMERICA REVISITED SELECTION 1935 5-Coin Time Capsule Year Set Taxable Item Circulated o
d7844735-849e-4484-a30a-9a1773b32bdf,Birth Year Set,Birth Year Set,,Receipt_2026-06-03_091154.pdf,PDF Invoice,71802670-1,1942 Birth Yr Coin and Silver Comm. Set
d83f9c09-3920-419b-bffb-fa10e03e7b49,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (43).pdf,PDF Invoice,68120353,1937 5-Coin Time Capsule Year Set Taxable Item
d98905f1-133a-492b-9fc0-bc3a3fe5a610,Half Dollar,Half Dollar Club,,Scan_20260129 (49).pdf,PDF Invoice,68120369,THE HALF DOLLAR CLUB SELECTION 1819 9/8 Capped Bust Silver Half Dollar Small 9/8 NGC XFineDetails Taxable Item
e51474e4-40e0-4e8b-99af-4a488f7bb392,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (43).pdf,PDF Invoice,68120353,YEAR SETS: AMERICA REVISITED SELECTION 1934 5-Coin Time Capsule Year Set Taxable Item
e890d7de-51bc-4e39-b103-21f3fb1f59d7,Half Dollar,Capped Bust,,Scan_20260129 (38).pdf,PDF Invoice,66803808,THE HALF DOLLAR CLUB SELECTION 1824 Capped Bust Silver Half Dollar Over Various Dates Tax Free Item
ef4e3c7c-280c-4585-99b8-f684024ade8e,5-Coin Set,Time Capsule Year Set,,Scan_20260128 (14).pdf,PDF Invoice,67305371,"1964 5-Coin Time Capsule Year Set
Tax Free Item"
f2390946-f278-4030-af2a-88af8701c04a,Half Dollar,Coins-on-Approval,,Receipt_2026-06-03_102540.pdf,PDF Invoice,68564410,"1986-S Statue of Liberty
Commemorative Half Dollar
Taxable Item Ch Proof-63"
faa6f5ec-467e-4657-b06d-3a3be047c78e,"Lincoln Cent, Jefferson Nickel",Transition Set,,Receipt_2026-01-28_161141.pdf,PDF Invoice,67226944,21st Century Penny and Nickel Transition Set Tax Free Item
fc5b1bb6-6a65-4b7c-bed5-68133a3ff125,Half Dollar,Proof U.S. Half-Dollars,,Receipt_2026-06-03_102331.pdf,PDF Invoice,407840339,PROOF U.S. HALF-DOLLARS ENCLOSED IS SHIPMENT # 1 1986 STATUE OF LIBERTY CENTENNIAL
fcffa3d4-4dbe-4bf8-aa9c-2f6d48f6a298,5-Coin Set,Time Capsule Year Set,,Scan_20260129 (48).pdf,PDF Invoice,67521147,YEAR SETS: AMERICA REVISITED SELECTION 1936 5-Coin Time Capsule Year Set Taxable Item
